rule_id,geography_code,ses_category,primary_ses_definition,sensitivity_ses_definition,primary_edge_count,sensitivity_edge_count,edge_jaccard,density_adjusted_jaccard_z,density_null_expected_jaccard
phi_008,56,lower,education_binary,income_binary,33,26,0.6857142857142857,3.734149746950742,0.4795087253042915
phi_012,1,higher,education_binary,income_binary,19,16,0.6666666666666666,5.930818417547265,0.24322315224548277
phi_012,1,lower,education_binary,income_binary,19,19,0.8095238095238095,7.588940354338261,0.2715075554311133
phi_012,2,higher,education_binary,income_binary,13,15,0.6470588235294118,6.207957244778001,0.18761435929287346
phi_012,2,lower,education_binary,income_binary,21,21,0.68,5.3794295369969545,0.3079643469682081
phi_012,4,higher,education_binary,income_binary,16,16,0.6842105263157895,6.343011902586511,0.22052003684006066
phi_012,4,lower,education_binary,income_binary,15,20,0.6666666666666666,6.084728610345981,0.23922178455104215
phi_012,5,higher,education_binary,income_binary,20,14,0.7,6.7692671339427,0.22790590039619793
phi_012,5,lower,education_binary,income_binary,25,24,0.8148148148148148,6.69916065890788,0.37690716923811185
phi_012,6,higher,education_binary,income_binary,20,15,0.75,7.2709884972795935,0.23922178455104215
phi_012,6,lower,education_binary,income_binary,15,21,0.6363636363636364,5.6551529156440195,0.2451735434154998
phi_012,8,higher,education_binary,income_binary,16,14,0.875,9.149545957675887,0.20332896553508914
phi_012,8,lower,education_binary,income_binary,22,23,0.7307692307692307,5.830503513274956,0.33650123523715225
phi_012,9,higher,education_binary,income_binary,12,14,0.7333333333333333,7.5222932453459475,0.17229858573687093
phi_012,9,lower,education_binary,income_binary,17,17,0.7894736842105263,7.629086083298535,0.2370497721029878
phi_012,10,higher,education_binary,income_binary,20,15,0.6666666666666666,6.084728610345981,0.23922178455104215
phi_012,10,lower,education_binary,income_binary,18,21,0.625,4.960013422778756,0.27828629426051166
phi_012,12,higher,education_binary,income_binary,20,16,0.7142857142857143,6.579184296413729,0.25008263972166656
phi_012,12,lower,education_binary,income_binary,25,28,0.7666666666666667,5.59470880595871,0.41814419003283654
phi_012,13,higher,education_binary,income_binary,18,14,0.7777777777777778,7.81832226979337,0.21629254258622882
phi_012,13,lower,education_binary,income_binary,26,28,0.8,5.977208105086084,0.4303832796968456
phi_012,15,higher,education_binary,income_binary,11,8,0.46153846153846156,4.518161678897595,0.11966022388417656
phi_012,15,lower,education_binary,income_binary,19,15,0.6190476190476191,5.421315899084035,0.23296826962336512
phi_012,16,higher,education_binary,income_binary,17,12,0.7058823529411765,7.190901875900637,0.18953982006992343
phi_012,16,lower,education_binary,income_binary,24,25,0.8148148148148148,6.69916065890788,0.37690716923811185
phi_012,17,higher,education_binary,income_binary,17,14,0.8235294117647058,8.441528743271304,0.20999370272925943
phi_012,17,lower,education_binary,income_binary,19,23,0.75,6.536097736686723,0.30428499756687644
phi_012,18,higher,education_binary,income_binary,18,14,0.7777777777777778,7.81832226979337,0.21629254258622882
phi_012,18,lower,education_binary,income_binary,26,26,0.9259259259259259,8.141428685850537,0.4090855700357655
phi_012,19,higher,education_binary,income_binary,15,11,0.7333333333333333,7.702492058019113,0.16867348537665167
phi_012,19,lower,education_binary,income_binary,19,22,0.8636363636363636,8.211278344991971,0.2965597772617303
phi_012,20,higher,education_binary,income_binary,16,13,0.8125,8.442780552897009,0.1940149449639409
phi_012,20,lower,education_binary,income_binary,22,20,0.8260869565217391,7.531506249246475,0.3070424809010717
phi_012,21,higher,education_binary,income_binary,19,17,0.8,7.660898119032652,0.2530475887578609
