ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,phi_008,SKIN_CANCER,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_008,SKIN_CANCER,KIDNEY_DISEASE,94,28,0.2978723404255319
education_binary,phi_008,SKIN_CANCER,ARTHRITIS,94,91,0.9680851063829787
education_binary,phi_008,SKIN_CANCER,DIABETES,94,10,0.10638297872340426
education_binary,phi_008,OTHER_CANCER,COPD,94,75,0.7978723404255319
education_binary,phi_008,OTHER_CANCER,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_008,OTHER_CANCER,KIDNEY_DISEASE,94,75,0.7978723404255319
education_binary,phi_008,OTHER_CANCER,ARTHRITIS,94,94,1.0
education_binary,phi_008,OTHER_CANCER,DIABETES,94,66,0.7021276595744681
education_binary,phi_008,COPD,DEPRESSIVE_DISORDER,94,87,0.925531914893617
education_binary,phi_008,COPD,KIDNEY_DISEASE,94,66,0.7021276595744681
education_binary,phi_008,COPD,ARTHRITIS,94,94,1.0
education_binary,phi_008,COPD,DIABETES,94,74,0.7872340425531915
education_binary,phi_008,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,11,0.11702127659574468
education_binary,phi_008,DEPRESSIVE_DISORDER,ARTHRITIS,94,84,0.8936170212765957
education_binary,phi_008,DEPRESSIVE_DISORDER,DIABETES,94,4,0.0425531914893617
education_binary,phi_008,KIDNEY_DISEASE,ARTHRITIS,94,92,0.9787234042553191
education_binary,phi_008,KIDNEY_DISEASE,DIABETES,94,93,0.9893617021276596
education_binary,phi_008,ARTHRITIS,DIABETES,94,94,1.0
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,STROKE,94,92,0.9787234042553191
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,CURRENT_ASTHMA,94,2,0.02127659574468085
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,SKIN_CANCER,94,19,0.20212765957446807
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,94,38,0.40425531914893614
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,COPD,94,87,0.925531914893617
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,94,79,0.8404255319148937
education_binary,phi_012,ISCHEMIC_HEART_DISEASE,ARTHRITIS,94,93,0.9893617021276596
