similarity_metric,metric,observed,null_mean,null_standard_deviation,null_q025,null_q975,p_value_one_sided_greater,permutations,paired_states,permutation_scheme,null_hypothesis,ses_definition,rule_id
edge_jaccard,lower_minus_cross,-0.016416745804394117,-9.000294391888294e-05,0.011318240694924096,-0.021121271133318107,0.022710542195783067,0.9256074392560744,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
edge_jaccard,higher_minus_cross,0.04161043753789073,5.991971285457894e-05,0.011338252175392428,-0.020723796946090178,0.023210554268366886,0.00019998000199980003,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,same_ses_mean,5.285366764585249,5.213898359938523,0.01050242731178751,5.196907173035656,5.237802034500966,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,lower_ses_mean,4.522593418688738,5.21246748466113,0.190756725399936,4.846190253533998,5.594511995561482,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,higher_ses_mean,6.048140110481759,5.215329235215925,0.19084669643656352,4.8525668259008965,5.60085214532312,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,cross_ses_mean,5.142602866181557,5.214071270828282,0.01050242731178741,5.190167596265839,5.2310624577311495,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,same_minus_cross,0.1427638984036923,-0.00017291088975937053,0.02100485462357492,-0.03415528469549287,0.047634438235127335,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,lower_minus_cross,-0.6200094474928184,-0.001603786167152742,0.19157730710056206,-0.35832102066250043,0.39171203584214537,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
density_adjusted_jaccard_z,higher_minus_cross,0.9055372443002021,0.0012579643876415062,0.1917564369370416,-0.35449385312754095,0.39814621855169935,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_008
edge_jaccard,same_ses_mean,0.6543603119085376,0.6313613616214899,0.0012482259970966185,0.6295876444028425,0.6344778147075102,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,lower_ses_mean,0.6271826780526858,0.631321547407311,0.009273755152466005,0.6136075643061719,0.6499578087791998,0.6627337266273373,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,higher_ses_mean,0.6815379457643893,0.6314011758356693,0.00927200837965361,0.6139240293327809,0.6498105617203358,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,cross_ses_mean,0.6084122542074288,0.6314112044944761,0.0012482259970966192,0.628294751408456,0.6331849217131236,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,same_minus_cross,0.04594805770110877,-4.984287298596823e-05,0.0024964519941932375,-0.003597277310281127,0.006183063299054055,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,lower_minus_cross,0.018770423845256956,-8.965708716513173e-05,0.009523283922320859,-0.017949079083848837,0.019597426595018282,0.029997000299970003,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,higher_minus_cross,0.07312569155696047,-1.0028658806655e-05,0.009519881627104865,-0.01769254261688929,0.019122294817191878,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,same_ses_mean,5.639639403497846,5.395246675232156,0.015073692489151972,5.372526372384533,5.431320013654456,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,lower_ses_mean,4.862154562622835,5.3945772091731214,0.16113784013404828,5.096886542406624,5.721554878315214,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,higher_ses_mean,6.417124244372856,5.395916141291188,0.1607913804309285,5.09318413116799,5.715288493257006,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,cross_ses_mean,5.151390057063937,5.395782785329628,0.015073692489151979,5.35970944690733,5.418503088177252,1.0,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,same_minus_cross,0.4882493464339088,-0.0005361100974733419,0.03014738497830395,-0.045976715792719,0.0716105667471254,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,lower_minus_cross,-0.28923549444110197,-0.0012055761565077567,0.16340997487892192,-0.2911735624813258,0.3447640477033453,0.9732026797320268,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
density_adjusted_jaccard_z,higher_minus_cross,1.2657341873089187,0.0001333559615601448,0.16272599326955997,-0.2969211808611703,0.3375147411685816,9.999000099990002e-05,10000,47,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,education_binary,phi_012
edge_jaccard,same_ses_mean,0.5742922565045683,0.5668593268111638,0.0007714385569282755,0.5655671431348015,0.5685576118583113,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,lower_ses_mean,0.5995600631980298,0.5668896572702095,0.009080305214277494,0.549521358237325,0.5844969669398896,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,higher_ses_mean,0.5490244498111069,0.5668289963521159,0.009102747458260257,0.5498053286600433,0.5848962809947531,0.9815018498150185,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,cross_ses_mean,0.5594143455954692,0.5668472752888752,0.0007714385569282801,0.5651489902417277,0.5681394589652377,1.0,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,same_minus_cross,0.014877910909099068,1.2051522288494509e-05,0.0015428771138565555,-0.0025723158304362336,0.0034086216165836233,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,lower_minus_cross,0.04014571760256058,4.238198133413884e-05,0.00916696573974003,-0.017032648696178675,0.018179525474114236,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,higher_minus_cross,-0.010389895784362335,-1.827893675938823e-05,0.009211373289712273,-0.01690135171749402,0.018688736682400564,0.8677132286771323,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,same_ses_mean,3.0708104054148797,2.9653950951299124,0.011841979270935674,2.945290991594527,2.9917233604862283,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,lower_ses_mean,3.0176625852769585,2.9668153583540215,0.09155553956023472,2.792499711434843,3.1458434066528973,0.2900709929007099,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,higher_ses_mean,3.123958225552801,2.9639748319058072,0.09155575695464932,2.787326107274088,3.143734799315594,0.0420957904209579,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,cross_ses_mean,2.859741541506711,2.9651568517916758,0.011841979270935644,2.938828586435361,2.9852609553270613,1.0,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,same_minus_cross,0.2110688639081686,0.00023824333823724734,0.02368395854187132,-0.03996996373253422,0.05289477405086683,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,lower_minus_cross,0.1579210437702474,0.0016585065623461162,0.093824806632569,-0.17532844030104017,0.18943169422605233,0.0504949505049495,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
density_adjusted_jaccard_z,higher_minus_cross,0.2642166840460898,-0.0011820198858682812,0.09382523090504592,-0.1784091835409597,0.185503760943138,0.0021997800219978004,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,adjusted_fdr
edge_jaccard,same_ses_mean,0.7143752979208748,0.6903667842917252,0.001084018451953085,0.6889116149936635,0.6931670655231849,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
edge_jaccard,lower_ses_mean,0.7556590556362289,0.6904504268245258,0.010010130375280264,0.672093197185677,0.7110699359854968,9.999000099990002e-05,10000,48,within_state_lower_higher_label_swap,Graph structure is unrelated to SES label conditional on state,income_binary,phi_008
