graph_id,source_condition,target_condition,weighted_phi,n_complete,source_cases,target_cases,cooccurring_cases,kish_effective_n,edge_present_phi_008,edge_present_phi_012,edge_present_adjusted_fdr,edge_present_adjusted_stable,odds_ratio,reverse_odds_ratio,confidence_low,confidence_high,q_value,direction_concordant,positive_stability,stability_wilson_low,stability_wilson_high,bootstrap_replicates_valid
2024_06_education_binary_lower,STROKE,SKIN_CANCER,0.08662459208116433,2508,123,104,12,1456.9138565519427,True,False,True,True,2.5983212640720326,2.5612889299632116,1.1347542515415032,5.949546681281572,0.043017642242505,True,0.97,0.9361057075454807,0.9861796856598887,200.0
2024_06_education_binary_lower,STROKE,OTHER_CANCER,0.039138128599283006,2510,126,160,15,1457.364329767538,False,False,False,False,1.149802187502534,1.1581408710564163,0.5490932274089327,2.407687810363446,0.7805254745275322,True,,,,
2024_06_education_binary_lower,STROKE,COPD,0.05499130793236738,2516,126,153,14,1460.5313909324748,False,False,False,False,1.8426162721962387,1.8404873831591302,0.8487813265453489,4.000128914689287,0.1832914054275195,True,,,,
2024_06_education_binary_lower,STROKE,DEPRESSIVE_DISORDER,0.06345356155891771,2505,126,410,26,1451.1675591564392,False,False,True,True,2.7095988700880835,2.744009723843048,1.447792561622909,5.071117390292895,0.004864543016265794,True,0.995,0.9722262956021069,0.9991168312843989,200.0
2024_06_education_binary_lower,STROKE,KIDNEY_DISEASE,0.09228243540216564,2515,125,118,17,1459.0475753510343,True,False,True,True,2.965359344736238,2.9487789993081353,1.3178234523865773,6.672635873560864,0.018507070964491498,True,0.985,0.9568342712073097,0.9948857622067417,200.0
2024_06_education_binary_lower,STROKE,ARTHRITIS,0.05325969126004802,2501,125,612,55,1451.6409693046642,False,False,False,False,0.9297768080372933,0.9415222327092815,0.5604266725089591,1.542547767924444,0.787722712470785,True,,,,
2024_06_education_binary_lower,STROKE,DIABETES,0.15441734038029725,2508,125,408,57,1456.6079018746466,True,True,True,True,3.1225782007429013,3.125359720004591,1.8737874738951306,5.2036288829949005,5.7663291154300654e-05,True,1.0,0.9811546736227335,1.0,200.0
2024_06_education_binary_lower,CURRENT_ASTHMA,SKIN_CANCER,0.06209264875324557,2498,218,104,11,1446.138648179509,False,False,True,True,2.916022392069973,2.8878192365762265,1.195019451059218,7.115521495082422,0.035105040288338815,True,0.975,0.942821659593358,0.9892752803482386,200.0
2024_06_education_binary_lower,CURRENT_ASTHMA,OTHER_CANCER,0.08984994223502246,2499,219,162,22,1445.777955474992,True,False,True,True,3.2086312831834474,3.290304252236206,1.6492633005245387,6.242371796031046,0.0018061814574354001,True,0.995,0.9722262956021069,0.9991168312843989,200.0
2024_06_education_binary_lower,CURRENT_ASTHMA,COPD,0.21488733036437474,2506,218,152,54,1449.7561906825595,True,True,True,True,10.449482435238412,10.286091732626621,6.2253407787418835,17.53987244155705,5.44877243744319e-17,True,1.0,0.9811546736227335,1.0,200.0
