graph_id,geography_code,geography,ses_category,edge_count,density,mean_same_ses_jaccard,median_same_ses_jaccard,mean_same_ses_density_adjusted_z,robust_similarity_z,robust_density_adjusted_similarity_z,n_unweighted,weighted_population_estimate,kish_effective_n,n_strata,n_psu,ses_definition,rule_id
2024_18_education_binary_lower,18,Indiana,lower,38,0.8444444444444444,0.6564206727766476,0.6835686777920411,2.702266196381073,0.4764725556498539,-0.6959114274655844,4718,2367072.6220627753,2996.2250832617055,41,4718,education_binary,adjusted_fdr
2024_55_education_binary_lower,55,Wisconsin,lower,36,0.8,0.6565920246928508,0.6923076923076923,2.847559352322002,0.4792762368060918,-0.4193886698486679,4236,1789868.0991731694,2085.6884501453865,41,4236,education_binary,adjusted_fdr
2024_27_education_binary_lower,27,Minnesota,lower,35,0.7777777777777778,0.6577288161084276,0.6799431009957326,2.9546075367346036,0.49787655795246194,-0.21565395874024135,3796,1433682.764220737,2366.5996959991594,19,3796,education_binary,adjusted_fdr
2024_30_education_binary_lower,30,Montana,lower,31,0.6888888888888889,0.6644482322936474,0.708204334365325,3.521538604640827,0.6078204731233843,0.8633324619268741,1934,327175.7462438034,1235.6071405913256,23,1934,education_binary,adjusted_fdr
2024_25_education_binary_lower,25,Massachusetts,lower,33,0.7333333333333333,0.6667313765172274,0.7027027027027027,3.332319237233339,0.6451775600965662,0.503209089761155,2407,1877092.2262665478,1448.0774544741696,38,2407,education_binary,adjusted_fdr
2024_54_education_binary_lower,54,West Virginia,lower,34,0.7555555555555555,0.6685228426748148,0.6972222222222222,3.2681881518591336,0.67448975,0.381154444710627,2340,725354.9641765121,1587.1597554965726,4,2340,education_binary,adjusted_fdr
2024_21_education_binary_lower,21,Kentucky,lower,38,0.8444444444444444,0.6697879093892658,0.6961538461538461,3.0158658304762915,0.6951889273846514,-0.09906682700194024,3069,1609298.8677892587,1412.4119306071798,59,3069,education_binary,adjusted_fdr
2024_41_education_binary_lower,41,Oregon,lower,29,0.6444444444444445,0.6730050770627823,0.7124060150375939,3.9210857807410493,0.7478286210779463,1.6237529113126934,1751,1124236.49456104,1266.2942585239007,4,1751,education_binary,adjusted_fdr
2024_05_education_binary_lower,5,Arkansas,lower,33,0.7333333333333333,0.6749233291012131,0.7124060150375939,3.4946150710222033,0.7792152971784063,0.8120914401953315,2106,1126305.92440219,1269.5956544170654,17,2106,education_binary,adjusted_fdr
2024_23_education_binary_lower,23,Maine,lower,38,0.8444444444444444,0.6762240150502695,0.7052631578947368,3.177170001305648,0.8004972808664568,0.2079281848689441,3684,437862.32863452804,2027.2101333377814,64,3684,education_binary,adjusted_fdr
2024_39_education_binary_lower,39,Ohio,lower,35,0.7777777777777778,0.688020053523486,0.7464285714285714,3.608620604305317,0.9935055151390954,1.0290674170944138,3784,3942732.1108005126,1693.9230566236724,59,3784,education_binary,adjusted_fdr
2024_29_education_binary_lower,29,Missouri,lower,31,0.6888888888888889,0.6923376240020852,0.7312834224598931,4.035819059949705,1.0641501350523146,1.8421139383806706,2654,1960542.4577685364,1389.1519860299213,44,2654,education_binary,adjusted_fdr
2024_09_education_binary_higher,9,Connecticut,higher,30,0.6666666666666666,0.6978895684844797,0.7200854700854701,3.3025785171391884,-1.3331444985548773,-0.811185676311835,5193,1863915.277963453,2734.0464334665076,40,5193,education_binary,adjusted_fdr
2024_56_education_binary_higher,56,Wyoming,higher,30,0.6666666666666666,0.7037829901679366,0.7200854700854701,3.377591851255171,-1.1943624092705478,-0.67448975,3238,295724.1174156895,1942.0937175362676,4,3238,education_binary,adjusted_fdr
2024_02_education_binary_higher,2,Alaska,higher,26,0.5777777777777777,0.7095871701563832,0.7222222222222222,4.38754893078322,-1.0576818408937687,1.165943289648978,3800,346527.81918179826,1563.6091266389528,34,3800,education_binary,adjusted_fdr
2024_33_education_binary_higher,33,New Hampshire,higher,30,0.6666666666666666,0.7109348013491352,0.7236111111111111,3.529435830958608,-1.025946953665207,-0.3977862318182325,5169,761648.8632875538,2177.6596047464554,44,5169,education_binary,adjusted_fdr
2024_22_education_binary_higher,22,Louisiana,higher,29,0.6444444444444445,0.7118693979191731,0.7204861111111112,3.7401904633175826,-1.0039384717349356,-0.013730516466659355,2812,1862364.2919029004,1889.9302944403225,28,2812,education_binary,adjusted_fdr
2024_34_education_binary_higher,34,New Jersey,higher,28,0.6222222222222222,0.7136424349499263,0.7200854700854701,4.000432092255805,-0.9621858538631947,0.46050477718937344,5993,4650152.57279034,3160.4830058111843,29,5993,education_binary,adjusted_fdr
2024_41_education_binary_higher,41,Oregon,higher,35,0.7777777777777778,0.7136821157876581,0.7342747111681642,2.619485101025104,-0.9612514239410284,-2.0559788637317697,4371,2286236.2037291513,3085.875119932635,5,4371,education_binary,adjusted_fdr
2024_54_education_binary_higher,54,West Virginia,higher,33,0.7333333333333333,0.7252670707803278,0.7435897435897436,3.2113095101235825,-0.6884414428292461,-0.9775041262859365,3465,698093.1435300009,2376.2167044606354,4,3465,education_binary,adjusted_fdr
2024_10_education_binary_higher,10,Delaware,higher,29,0.6444444444444445,0.7260860144391946,0.7368421052631579,4.004019508103831,-0.6691564301340366,0.46704208336554515,2995,511371.640078207,1375.0261659242403,13,2995,education_binary,adjusted_fdr
2024_38_education_binary_higher,38,North Dakota,higher,32,0.7111111111111111,0.7292043256073576,0.7428571428571429,3.5044283886712275,-0.5957244304909242,-0.4433570030477557,4069,407616.40247219446,2613.831207062685,4,4069,education_binary,adjusted_fdr
2024_42_education_binary_higher,42,Pennsylvania,higher,31,0.6888888888888889,0.7339479630264508,0.7467948717948718,3.747725229327719,-0.48401820154805825,0.0,2227,5935573.484570947,1183.4251633014092,31,2227,education_binary,adjusted_fdr
