graph_id,condition,n_valid,n_cases,unweighted_prevalence,weighted_prevalence,weighted_population_denominator,kish_effective_n,ses_definition,ses_category
2023_27_education_binary_lower,DIABETES,4145,621,0.14981905910735827,0.11833205719970877,1433894.9846781038,1934.5824056341019,education_binary,lower
2023_27_education_binary_higher,ISCHEMIC_HEART_DISEASE,11838,825,0.06969082615306639,0.054283451826688395,2987916.46162159,5415.765996656481,education_binary,higher
2023_27_education_binary_higher,STROKE,11894,400,0.033630401883302505,0.02939180343447169,3002065.240477531,5388.552262521328,education_binary,higher
2023_27_education_binary_higher,CURRENT_ASTHMA,11842,1135,0.09584529640263469,0.10316468879242283,2992103.4179677265,5345.958276946682,education_binary,higher
2023_27_education_binary_higher,SKIN_CANCER,11862,948,0.07991906929691452,0.058571006082168885,2996564.3566342844,5359.656809983208,education_binary,higher
2023_27_education_binary_higher,OTHER_CANCER,11877,1399,0.11779068788414583,0.08616777777560015,3001281.536105449,5367.648217887156,education_binary,higher
2023_27_education_binary_higher,COPD,11886,559,0.04703011946828201,0.037712366356930434,3000961.53056071,5374.334830071982,education_binary,higher
2023_27_education_binary_higher,DEPRESSIVE_DISORDER,11864,2693,0.22698921105866487,0.2304781249319014,2994358.494521533,5375.581379522279,education_binary,higher
2023_27_education_binary_higher,KIDNEY_DISEASE,11885,513,0.04316365166175852,0.03506217250562237,3003049.0407586005,5373.474364676945,education_binary,higher
2023_27_education_binary_higher,ARTHRITIS,11865,3296,0.27779182469447955,0.2258948353190954,2997760.416887615,5362.727332155631,education_binary,higher
2023_27_education_binary_higher,DIABETES,11913,1334,0.11197851087047762,0.0987893905387589,3008227.1323842723,5386.907021653328,education_binary,higher
2023_28_education_binary_lower,ISCHEMIC_HEART_DISEASE,1332,136,0.1021021021021021,0.08522129018243088,1003535.4167332076,760.022904946239,education_binary,lower
2023_28_education_binary_lower,STROKE,1356,91,0.06710914454277286,0.060249742482005014,1018367.4059985854,773.6483066469809,education_binary,lower
2023_28_education_binary_lower,CURRENT_ASTHMA,1353,129,0.09534368070953436,0.07743915120368786,1015653.6538885653,771.2013413349582,education_binary,lower
2023_28_education_binary_lower,SKIN_CANCER,1349,43,0.03187546330615271,0.030197218853686324,1014516.4931993656,770.1174098992186,education_binary,lower
2023_28_education_binary_lower,OTHER_CANCER,1350,116,0.08592592592592592,0.09158232954847409,1013177.0177739728,769.1640921399609,education_binary,lower
2023_28_education_binary_lower,COPD,1352,151,0.11168639053254438,0.08871259928606387,1014735.0058677,769.6298088436458,education_binary,lower
2023_28_education_binary_lower,DEPRESSIVE_DISORDER,1355,242,0.17859778597785977,0.1636378927609646,1018860.5845211622,773.3592396987784,education_binary,lower
2023_28_education_binary_lower,KIDNEY_DISEASE,1352,59,0.04363905325443787,0.03761849560888441,1016968.56485203,771.3904880366633,education_binary,lower
2023_28_education_binary_lower,ARTHRITIS,1351,522,0.38638045891931905,0.3530764124896603,1016168.2695525875,770.3519329423314,education_binary,lower
2023_28_education_binary_lower,DIABETES,1354,280,0.206794682422452,0.19120050589527848,1017904.0973925793,772.6446527053788,education_binary,lower
2023_28_education_binary_higher,ISCHEMIC_HEART_DISEASE,2671,190,0.0711344065892924,0.06387955638148964,1247707.4046324927,1549.1405815626565,education_binary,higher
2023_28_education_binary_higher,STROKE,2686,126,0.04690990320178704,0.047276281869486826,1256944.968042543,1558.950191373313,education_binary,higher
2023_28_education_binary_higher,CURRENT_ASTHMA,2677,194,0.07246918192005977,0.06612132048979733,1252230.072512643,1552.1614746879222,education_binary,higher
2023_28_education_binary_higher,SKIN_CANCER,2680,188,0.07014925373134329,0.06679547640116604,1253482.1437528753,1554.3229960242224,education_binary,higher
2023_28_education_binary_higher,OTHER_CANCER,2683,241,0.08982482295937383,0.08400389104270692,1253961.416297458,1554.660521131696,education_binary,higher
2023_28_education_binary_higher,COPD,2683,190,0.07081625046589639,0.06582922946040187,1255316.6474615596,1555.4246266846758,education_binary,higher
2023_28_education_binary_higher,DEPRESSIVE_DISORDER,2681,511,0.1906005221932115,0.19400309529599513,1254257.9649655342,1554.9806908238345,education_binary,higher
2023_28_education_binary_higher,KIDNEY_DISEASE,2681,90,0.03356956359567326,0.03560007670454433,1251833.9655803824,1556.6769460854766,education_binary,higher
2023_28_education_binary_higher,ARTHRITIS,2676,810,0.30269058295964124,0.27777433560054837,1250612.1604892584,1551.5899418154113,education_binary,higher
2023_28_education_binary_higher,DIABETES,2687,398,0.14812058057312988,0.15143367627744814,1256238.5313076153,1557.4763186915986,education_binary,higher
2023_29_education_binary_lower,ISCHEMIC_HEART_DISEASE,2639,290,0.10989010989010989,0.08831154049252869,1933753.022027227,1286.336814472196,education_binary,lower
2023_29_education_binary_lower,STROKE,2671,190,0.0711344065892924,0.05319292023667829,1948354.7136087276,1296.88161811527,education_binary,lower
2023_29_education_binary_lower,CURRENT_ASTHMA,2653,298,0.11232566905390125,0.10199368399218815,1933357.3093645778,1288.2568560064128,education_binary,lower
2023_29_education_binary_lower,SKIN_CANCER,2663,187,0.07022155463762673,0.04956384291575375,1943546.4332560576,1294.698993191265,education_binary,lower
2023_29_education_binary_lower,OTHER_CANCER,2668,311,0.11656671664167916,0.07940806582539817,1947265.9531828472,1296.679047747391,education_binary,lower
2023_29_education_binary_lower,COPD,2664,395,0.14827327327327328,0.12190331740111401,1948906.4563503421,1296.4618197143152,education_binary,lower
2023_29_education_binary_lower,DEPRESSIVE_DISORDER,2665,636,0.23864915572232645,0.2426564907062226,1942163.155849508,1296.026190642551,education_binary,lower
2023_29_education_binary_lower,KIDNEY_DISEASE,2665,131,0.049155722326454036,0.038606238323531286,1943381.8063166626,1293.6467716785173,education_binary,lower
2023_29_education_binary_lower,ARTHRITIS,2666,1047,0.3927231807951988,0.3120598159903562,1947141.032898427,1294.8832875583764,education_binary,lower
2023_29_education_binary_lower,DIABETES,2672,455,0.17028443113772454,0.13953227397814802,1950267.7834351996,1298.6489680027187,education_binary,lower
2023_29_education_binary_higher,ISCHEMIC_HEART_DISEASE,4457,368,0.08256674893426072,0.0705092009498799,2860969.063059639,2324.830778098854,education_binary,higher
2023_29_education_binary_higher,STROKE,4497,203,0.04514120524794307,0.03900939475289325,2879664.950997728,2344.7499354544525,education_binary,higher
2023_29_education_binary_higher,CURRENT_ASTHMA,4470,431,0.09642058165548098,0.09703703876756894,2865603.727868054,2331.9342876768405,education_binary,higher
2023_29_education_binary_higher,SKIN_CANCER,4468,353,0.07900626678603402,0.06274600576828428,2867530.1746941623,2330.396599653538,education_binary,higher
2023_29_education_binary_higher,OTHER_CANCER,4479,496,0.11073900424201831,0.09022427442760347,2872743.4734236477,2337.543666245284,education_binary,higher
2023_29_education_binary_higher,COPD,4485,329,0.073355629877369,0.0602843824577901,2876289.6683851257,2341.1744455474036,education_binary,higher
2023_29_education_binary_higher,DEPRESSIVE_DISORDER,4480,982,0.21919642857142857,0.22433365995564566,2873199.661992327,2336.112772092336,education_binary,higher
2023_29_education_binary_higher,KIDNEY_DISEASE,4487,200,0.04457321149988857,0.03708148640569516,2878003.468368113,2342.8630936696377,education_binary,higher
2023_29_education_binary_higher,ARTHRITIS,4482,1470,0.3279785809906292,0.2767251562567428,2870074.524134974,2336.229399892742,education_binary,higher
2023_29_education_binary_higher,DIABETES,4499,607,0.13491887086019116,0.11303306759494576,2884280.441919797,2348.3802212479354,education_binary,higher
2023_30_education_binary_lower,ISCHEMIC_HEART_DISEASE,2058,206,0.1000971817298348,0.07289056021598515,317763.6656087702,1262.650372405999,education_binary,lower
2023_30_education_binary_lower,STROKE,2077,116,0.05584978334135773,0.04326485859531397,320733.6430971629,1277.3478907076526,education_binary,lower
2023_30_education_binary_lower,CURRENT_ASTHMA,2068,240,0.11605415860735009,0.12439488254407226,319252.897771187,1269.5606996381987,education_binary,lower
2023_30_education_binary_lower,SKIN_CANCER,2064,155,0.0750968992248062,0.04650342107870787,319940.3979609178,1271.645612263487,education_binary,lower
