graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present,ses_definition,ses_category
2023_01_education_binary_higher,STROKE,DEPRESSIVE_DISORDER,0.027809469116700045,,,2756,148,575,36,2224416.3436608166,1577.1207721602825,0.0388834425148988,0.21093520425716972,0.010395166237968446,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,STROKE,KIDNEY_DISEASE,0.031423896652967145,,,2760,146,149,10,2232368.074372036,1582.346783833964,0.03838740031433775,0.04181398895979019,0.002813612300290529,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,STROKE,ARTHRITIS,0.14432124668577279,,,2755,147,1043,90,2226851.4993727496,1578.6518148498972,0.03854517073844867,0.29808425999586713,0.024198133220206225,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,STROKE,DIABETES,0.06958806071386155,,,2761,147,505,42,2232000.4786106087,1582.3264318404385,0.038633950597008984,0.14691542933361104,0.010423734546205788,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,SKIN_CANCER,-0.007801145160780885,,,2731,224,300,23,2209118.1805081004,1564.2171769197676,0.0794939129652047,0.08127073981334337,0.005883896095004642,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,OTHER_CANCER,0.012386101311130998,,,2733,223,343,30,2209069.6281856014,1564.610900183197,0.07885556645264118,0.08817122127163389,0.007899322391988779,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,COPD,0.20987823275082632,,,2734,223,205,60,2210540.909841913,1565.5701841430866,0.07912327957950063,0.060465087379206355,0.018287159385907494,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.07098651771598241,,,2734,224,569,76,2205932.715260611,1563.4846559505872,0.079379321564104,0.2099109925670649,0.024477530003214808,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,KIDNEY_DISEASE,0.0757010781005629,,,2738,222,148,23,2212718.1314918604,1568.0835010928479,0.07916192994004001,0.04201928416296658,0.007426995471797747,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,ARTHRITIS,0.15309805686274883,,,2731,225,1036,137,2206491.964363314,1563.5130486263658,0.0798193031023965,0.2982806582416591,0.0427911008316441,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,CURRENT_ASTHMA,DIABETES,0.07463580594505331,,,2738,224,504,62,2212058.1786080846,1567.691570506902,0.0795000257192064,0.1480761249699991,0.018943153896950716,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,OTHER_CANCER,0.24465727891679884,,,2751,299,342,111,2226768.06816727,1576.8748062069774,0.08069192501078751,0.0872757901476883,0.02584948927633997,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,COPD,0.04120687593912605,,,2748,300,205,32,2224832.2006422337,1574.8014815744323,0.080681774351009,0.06040510593197645,0.007547197665404066,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,DEPRESSIVE_DISORDER,-0.03518210515238134,,,2750,301,573,52,2221258.6314281626,1573.8735286722276,0.08100427319923799,0.21054443469958112,0.013141472565286335,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,KIDNEY_DISEASE,0.0694917486423335,,,2754,301,149,31,2229210.3621393824,1579.100063436813,0.08071532596577895,0.04187321914581339,0.007171352934717697,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,ARTHRITIS,0.1518937675743051,,,2748,299,1040,165,2223276.552133185,1574.9010337889129,0.08046094727552588,0.2976297859242698,0.042837874432453384,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,SKIN_CANCER,DIABETES,0.01219756125615193,,,2755,301,504,49,2228842.7663779547,1579.0794050106608,0.08072863808099624,0.14684307646844855,0.01303055683025998,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,OTHER_CANCER,COPD,0.10415914128519883,,,2750,343,208,48,2224783.6483197343,1575.1949092394045,0.08740036344325233,0.06074742551703681,0.012336012759343281,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,OTHER_CANCER,DEPRESSIVE_DISORDER,-0.007939644998991998,,,2752,344,577,68,2221210.0791056636,1574.26782864908,0.08737540700367948,0.21144471430091638,0.017559572364442107,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,OTHER_CANCER,KIDNEY_DISEASE,0.13057395766393312,,,2756,343,149,46,2229161.809816883,1579.4941416998468,0.08718904024437361,0.04187413116665957,0.01102936413623015,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,OTHER_CANCER,ARTHRITIS,0.1509547609964748,,,2750,344,1041,187,2223227.999810686,1575.2951146959638,0.08748452389792381,0.2979738589187021,0.04557545114469274,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,OTHER_CANCER,DIABETES,0.08634285482803686,,,2757,345,504,79,2228794.2140554558,1579.4736134440273,0.08756153243071871,0.14673292235271498,0.021483732388080528,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,COPD,DEPRESSIVE_DISORDER,0.14075667282094398,,,2750,209,573,82,2220188.063792425,1573.0690221285138,0.06130773348243244,0.21040773468328763,0.026662856656394153,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,COPD,KIDNEY_DISEASE,0.018501340938200373,,,2754,208,149,19,2228139.794503645,1578.2955806688253,0.060957728643669655,0.041893338221524995,0.003440551116897053,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,COPD,ARTHRITIS,0.18905437185505614,,,2748,207,1043,137,2222205.984497448,1574.096550773216,0.06043486825347769,0.2987797265489255,0.038677097710309236,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,COPD,DIABETES,0.14301532395300787,,,2755,209,505,68,2227772.1987422174,1578.2749082445973,0.06109901998629528,0.14719329036520065,0.021129459008571,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,0.024811473171197182,,,2756,576,148,37,2224566.225289574,1577.3699739282483,0.21117772055601045,0.041590784833285224,0.010804856635250494,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,DEPRESSIVE_DISORDER,ARTHRITIS,0.1263407452074997,,,2750,576,1043,287,2218632.415283377,1573.1709569245718,0.21119843896910595,0.2984868572098314,0.08663676198240833,weighted_phi,descriptive,True,,,True,education_binary,higher
2023_01_education_binary_higher,DEPRESSIVE_DISORDER,DIABETES,0.06393689928295597,,,2757,576,505,133,2224198.6295281462,1577.349790739653,0.2106865439001077,0.14724017954536942,0.040260445633990935,weighted_phi,descriptive,True,,,False,education_binary,higher
2023_01_education_binary_higher,KIDNEY_DISEASE,ARTHRITIS,0.14937086478478648,,,2754,149,1043,102,2226584.145994596,1578.3968900456098,0.041922607858273564,0.2983747462815421,0.026205600760985527,weighted_phi,descriptive,True,,,True,education_binary,higher
