graph_id,state_code,ses_definition,ses_category,disease_a,disease_b,point_phi,p_phi_gt_zero,p_phi_ge_012,bootstrap_selection_mask,bootstrap_phi_median,bootstrap_phi_025,bootstrap_phi_975,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_status,bootstrap_message,pair_eligible,exclusion_reason,selection_stability_standard_error,selection_stability_wilson_low,selection_stability_wilson_high
2023_30_education_binary_higher,30,education_binary,higher,STROKE,KIDNEY_DISEASE,0.0483830268997854,0.99,0.004,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000,0.0487172750304989,0.0067933955050867,0.0974695057503095,500,500,ok,,True,,0.002822764602300376,0.0010976305226827934,0.014465715215177033
2023_30_education_binary_higher,30,education_binary,higher,STROKE,OTHER_CANCER,0.0724062581165092,1.0,0.008,b00000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000010000000,0.0721501264490218,0.0310328086097666,0.113226576660655,500,500,ok,,True,,0.003983967871356395,0.00311531518006224,0.020387035834105168
2023_30_education_binary_higher,30,education_binary,higher,STROKE,SKIN_CANCER,0.0598158620712176,0.998,0.012,b00000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000,0.0599631952240107,0.0197898972490382,0.104592440979924,500,500,ok,,True,,0.004869496893930624,0.005510995174027703,0.025930361116447292
2023_30_education_binary_lower,30,education_binary,lower,ARTHRITIS,DIABETES,0.16303912104833,1.0,0.956,b11111111111111111111111011111111111111111111111111111111111111111111101111111111111011111111011111110111111111111011111111111010111111111111111110111111111111111111110111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111011111101011111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111110111111111101111111110111111110110111111111111111,0.163501660293222,0.114628573973086,0.209975152543144,500,500,ok,,True,,0.009172131704244116,0.9342805571276716,0.9707660443713928
2023_30_education_binary_lower,30,education_binary,lower,COPD,ARTHRITIS,0.178403088087536,1.0,0.978,b11111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111111111101111111110111111111111111111110111111111111111111111011111111111111111111111111111111101111111111111111111111111111111011011111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111,0.177392498369099,0.120943472552062,0.234446326236948,500,500,ok,,True,,0.006559878047646925,0.9610391387886836,0.9876719917300725
2023_30_education_binary_lower,30,education_binary,lower,COPD,DEPRESSIVE_DISORDER,0.162131783758985,1.0,0.87,b01111111111111101011111111111111111111111101111111111110111110111111111111111111110111111101111111101111110111111101111111111101111101111110011111111111011111111111111111111110000111111111111111111110111111111111101100111111111110110110110111111111111110111111111101111111000110111111111111111111011111101011011111110100111111111111111111111111011111101110111101111011111110111111100111111111111011110111111111111010111111011100101111110110111011111111111111011111111111111100110011111111111111111111,0.16119828062602,0.0944114396201613,0.239020969068915,500,500,ok,,True,,0.015039946808416579,0.8376786384230859,0.8966793496353656
2023_30_education_binary_lower,30,education_binary,lower,COPD,DIABETES,0.117106562350837,1.0,0.43,b11100100100111110000011011100010111110000011011100000100011000100000100011110101011100100111000011010110101000010101110011000011110111000000100010000111001000001000000000001100101000111001100010010001100000101101010111101010011100101010001011001101001011010010111111111101111001010010100000000100100011101010011001110111010000001100000100001000101000010011010011000101110011000000100100101011001001001000010101001100111101000001110001111000000001011100010111000100010110100011001110010110100001000100,0.112422113091738,0.0561547931787763,0.179451135265508,500,500,ok,,True,,0.022140460699813815,0.38730164759035934,0.4737657600742581
2023_30_education_binary_lower,30,education_binary,lower,COPD,KIDNEY_DISEASE,0.0810597113103458,1.0,0.138,b00000110000001110000000000000000101000000010001000000010100001000100000000000000010100100100000000000000000000000010000000000000100001100100000000000000000000101010000000000010100000000000100100000000000000100000000000000010000000001010000100000000000011101000000001001000010000000110000000010010110000000000000000000000000000000000000000000000001001000000000001000101000001000100000100001000000000000001010000000001000001100000000000000000000000000100100000000000001000000001000001010100000000010000,0.0795623110199055,0.0253206847145966,0.144051417461772,500,500,ok,,True,,0.01542439626046997,0.1105180088988837,0.17100201359528017
2023_30_education_binary_lower,30,education_binary,lower,CURRENT_ASTHMA,ARTHRITIS,0.102985394533941,1.0,0.252,b01010000100001110000111001000000001000000011010011000010011100100000010000001100100001001000100100001100011010000000000000000000000100000011001000000000000000000000010000000100000011000001101001010101101000101100000000000001111000000010100101101000000101010000000100000000100000000000110001100000011010011000010110010000001011011000000010000000000100001000101010010000000001001000000010001010001000000010010000000000001000100001000011010000100000000010100100000010010001100001110010001000110011100000,0.0992521639571602,0.0470495500911331,0.15853007017487,500,500,ok,,True,,0.019416281827373642,0.21593384838137186,0.2918478244875581
2023_30_education_binary_lower,30,education_binary,lower,CURRENT_ASTHMA,COPD,0.260189037126747,1.0,1.0,b11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.258783382479005,0.187551548092692,0.339509173253276,500,500,ok,,True,,0.0,0.9923756595384479,1.0
2023_30_education_binary_lower,30,education_binary,lower,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.209904787902829,1.0,0.992,b11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111,0.206599183300296,0.14170976368392,0.27552452850784,500,500,ok,,True,,0.003983967871356396,0.9796129641658948,0.9968846848199377
2023_30_education_binary_lower,30,education_binary,lower,CURRENT_ASTHMA,DIABETES,0.0828312630846461,0.996,0.108,b00000000000000000000001000000000000010000000000001000000000000100000000000000000000000000000000110000000000000000000000000000000000000000000000000000100000000000000000000000000000000000001000100010001111000101000000100001000011000011001000001000100000000000000000000000000100000000000110000000010001100000100100000000000000000000010000000000100000000000000000001100000000001000010000000000000000000001100000000000000100000000001010010010001000000000000000001000000000110100100000001000000000000000010,0.0839107645559108,0.0196594221942078,0.142753597995072,500,500,ok,,True,,0.013880633991284405,0.08372280963705037,0.13825467328480662
2023_30_education_binary_lower,30,education_binary,lower,CURRENT_ASTHMA,KIDNEY_DISEASE,0.0249447301652653,0.868,0.0,b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.024595674174929,-0.019116525399987,0.0722351503584357,500,500,ok,,True,,0.0,4.336808689942018e-19,0.007624340461552241
