graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present,ses_definition,ses_category,point_phi,p_phi_gt_zero,p_phi_ge_012,bootstrap_phi_median,bootstrap_phi_025,bootstrap_phi_975,selection_stability_standard_error,selection_stability_wilson_low,selection_stability_wilson_high,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_status,bootstrap_message,rule_id,minimum_effect,association_scale
2023_48_education_binary_higher,STROKE,DEPRESSIVE_DISORDER,0.032992080699229286,,,6737,253,1334,75,13524372.81191625,1976.4128251637412,0.030740527243877224,0.19337264891142286,0.008193532173784738,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0329920806992293,0.926,0.0,0.0305733028213362,-0.0089624552012852,0.0756220718667064,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,STROKE,KIDNEY_DISEASE,0.10123780499017875,,,6750,254,313,37,13511489.224797633,2000.7849730978562,0.031018157265801326,0.028891289666085382,0.003836009668847651,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.101237804990179,1.0,0.282,0.0986488208754394,0.0489441053518573,0.161989083879378,0.020123419192572618,0.2443364332272433,0.32298777921399346,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,STROKE,ARTHRITIS,0.12122396764636985,,,6741,254,1871,126,13538719.098988883,1978.8653060953022,0.031030466838828794,0.21461917009428275,0.01528975923333476,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.12122396764637,1.0,0.554,0.122234158915428,0.0758044126111755,0.17149021897779,0.022229889788300795,0.5101829628154826,0.5969936084146699,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,STROKE,DIABETES,0.05726039689684091,,,6755,254,878,74,13551312.186625056,1982.1082596290712,0.031002305339530453,0.1102879570415507,0.006528043324795882,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0572603968968409,1.0,0.008,0.0550687293219916,0.0156785295354789,0.101886503034756,0.003983967871356395,0.00311531518006224,0.020387035834105168,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,CURRENT_ASTHMA,SKIN_CANCER,-0.004223060006223769,,,6713,605,543,53,13523278.453348715,1972.9282698768632,0.08337714213272301,0.04695811710497927,0.003668256083150982,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,-0.0042230600062237,0.384,0.0,-0.0041748971477516,-0.0296115971739594,0.0248434897556478,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,CURRENT_ASTHMA,OTHER_CANCER,0.011203873940312258,,,6725,607,682,74,13566269.95355226,1978.116971279923,0.08315682936662451,0.06315559067203451,0.006004314922420048,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0112038739403123,0.722,0.0,0.0101383711481991,-0.0213928075584102,0.0460487475782662,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,CURRENT_ASTHMA,COPD,0.23160731221901482,,,6724,603,392,127,13529488.87524002,1974.9775066914356,0.08320331079006554,0.04090119977482786,0.01607259512284068,survey_bootstrap_stable_phi,design_bootstrap,True,,,True,education_binary,higher,0.231607312219015,1.0,1.0,0.229978942735904,0.16181534012223,0.296114112190575,0.0,0.9923756595384479,1.0,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.10427045750393875,,,6718,606,1328,209,13529441.833253043,1972.1110084687452,0.083116840757239,0.19309027369787904,0.027411071323897918,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.104270457503939,1.0,0.244,0.103993354309807,0.0603079212524991,0.148870956253929,0.019207498535728174,0.208398855460222,0.2835048068560928,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,CURRENT_ASTHMA,KIDNEY_DISEASE,0.020630277339410523,,,6729,608,311,44,13522533.585386869,1996.0116812628612,0.08345557978637505,0.028563866372404018,0.003334254974601516,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.0206302773394105,0.736,0.0,0.015767909162087,-0.0191387542844976,0.0713199763009305,0.0,4.336808689942018e-19,0.007624340461552241,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
2023_48_education_binary_higher,CURRENT_ASTHMA,ARTHRITIS,0.07967046817074296,,,6721,608,1862,243,13536525.090598498,1975.4232323258545,0.08330703791726211,0.21396791521641695,0.026854136670200403,survey_bootstrap_stable_phi,design_bootstrap,True,,,False,education_binary,higher,0.079670468170743,1.0,0.036,0.0788465629994246,0.0364130108303346,0.12616127066857,0.008331146379700696,0.02289106098029272,0.056184326968027755,500.0,500.0,ok,,phi_012_stable,0.12,weighted_phi
