graph_id,geography_code,ses_category,rule_id,threshold,edge_count,density,component_count,isolate_count,transitivity
2024_21_education_binary_lower,21,lower,phi_012,0.12,26,0.5777777777777777,1,0,0.6923076923076923
2024_21_education_binary_lower,21,lower,phi_014,0.14,24,0.5333333333333333,1,0,0.6106194690265486
2024_22_education_binary_higher,22,higher,phi_010,0.1,23,0.5111111111111111,1,0,0.57
2024_22_education_binary_higher,22,higher,phi_012,0.12,19,0.4222222222222222,1,0,0.4931506849315068
2024_22_education_binary_higher,22,higher,phi_014,0.14,12,0.26666666666666666,2,1,0.5357142857142857
2024_22_education_binary_lower,22,lower,phi_010,0.1,24,0.5333333333333333,1,0,0.6964285714285714
2024_22_education_binary_lower,22,lower,phi_012,0.12,21,0.4666666666666667,1,0,0.6219512195121951
2024_22_education_binary_lower,22,lower,phi_014,0.14,15,0.3333333333333333,2,0,0.5853658536585366
2024_23_education_binary_higher,23,higher,phi_010,0.1,22,0.4888888888888889,1,0,0.6702127659574468
2024_23_education_binary_higher,23,higher,phi_012,0.12,15,0.3333333333333333,1,0,0.5121951219512195
2024_23_education_binary_higher,23,higher,phi_014,0.14,12,0.26666666666666666,2,1,0.5
2024_23_education_binary_lower,23,lower,phi_010,0.1,28,0.6222222222222222,1,0,0.7449664429530202
2024_23_education_binary_lower,23,lower,phi_012,0.12,25,0.5555555555555556,1,0,0.7058823529411765
2024_23_education_binary_lower,23,lower,phi_014,0.14,20,0.4444444444444444,1,0,0.5921052631578947
2024_24_education_binary_higher,24,higher,phi_010,0.1,17,0.37777777777777777,1,0,0.5660377358490566
2024_24_education_binary_higher,24,higher,phi_012,0.12,12,0.26666666666666666,1,0,0.34615384615384615
2024_24_education_binary_higher,24,higher,phi_014,0.14,9,0.2,2,0,0.2727272727272727
2024_24_education_binary_lower,24,lower,phi_010,0.1,19,0.4222222222222222,1,0,0.5373134328358209
2024_24_education_binary_lower,24,lower,phi_012,0.12,16,0.35555555555555557,1,0,0.4897959183673469
2024_24_education_binary_lower,24,lower,phi_014,0.14,13,0.28888888888888886,2,1,0.5
