ses_definition,rule_id,source_condition,target_condition,graph_count,support_count,support_fraction
education_binary,phi_014,STROKE,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_014,STROKE,KIDNEY_DISEASE,94,12,0.1276595744680851
education_binary,phi_014,STROKE,ARTHRITIS,94,24,0.2553191489361702
education_binary,phi_014,STROKE,DIABETES,94,19,0.20212765957446807
education_binary,phi_014,CURRENT_ASTHMA,SKIN_CANCER,94,0,0.0
education_binary,phi_014,CURRENT_ASTHMA,OTHER_CANCER,94,0,0.0
education_binary,phi_014,CURRENT_ASTHMA,COPD,94,85,0.9042553191489362
education_binary,phi_014,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,94,60,0.6382978723404256
education_binary,phi_014,CURRENT_ASTHMA,KIDNEY_DISEASE,94,0,0.0
education_binary,phi_014,CURRENT_ASTHMA,ARTHRITIS,94,19,0.20212765957446807
education_binary,phi_014,CURRENT_ASTHMA,DIABETES,94,1,0.010638297872340425
education_binary,phi_014,SKIN_CANCER,OTHER_CANCER,94,93,0.9893617021276596
education_binary,phi_014,SKIN_CANCER,COPD,94,2,0.02127659574468085
education_binary,phi_014,SKIN_CANCER,DEPRESSIVE_DISORDER,94,1,0.010638297872340425
education_binary,phi_014,SKIN_CANCER,KIDNEY_DISEASE,94,4,0.0425531914893617
education_binary,phi_014,SKIN_CANCER,ARTHRITIS,94,45,0.4787234042553192
education_binary,phi_014,SKIN_CANCER,DIABETES,94,0,0.0
education_binary,phi_014,OTHER_CANCER,COPD,94,17,0.18085106382978725
education_binary,phi_014,OTHER_CANCER,DEPRESSIVE_DISORDER,94,0,0.0
education_binary,phi_014,OTHER_CANCER,KIDNEY_DISEASE,94,9,0.09574468085106383
education_binary,phi_014,OTHER_CANCER,ARTHRITIS,94,80,0.851063829787234
education_binary,phi_014,OTHER_CANCER,DIABETES,94,7,0.07446808510638298
education_binary,phi_014,COPD,DEPRESSIVE_DISORDER,94,23,0.24468085106382978
education_binary,phi_014,COPD,KIDNEY_DISEASE,94,12,0.1276595744680851
education_binary,phi_014,COPD,ARTHRITIS,94,89,0.9468085106382979
education_binary,phi_014,COPD,DIABETES,94,15,0.1595744680851064
education_binary,phi_014,DEPRESSIVE_DISORDER,KIDNEY_DISEASE,94,0,0.0
education_binary,phi_014,DEPRESSIVE_DISORDER,ARTHRITIS,94,21,0.22340425531914893
education_binary,phi_014,DEPRESSIVE_DISORDER,DIABETES,94,0,0.0
education_binary,phi_014,KIDNEY_DISEASE,ARTHRITIS,94,60,0.6382978723404256
education_binary,phi_014,KIDNEY_DISEASE,DIABETES,94,84,0.8936170212765957
education_binary,phi_014,ARTHRITIS,DIABETES,94,91,0.9680851063829787
