graph_id,year,geography_code,geography,ses_category,n_unweighted,weighted_population_estimate,kish_effective_n,node_count,edge_count,density,component_count,isolate_count,mean_degree,maximum_degree,transitivity,population_graph_id,ses_definition,rule_id
2024_10_education_binary_lower__phi_010,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,24,0.5333333333333333,1,0,4.8,8,0.5533980582524272,2024_10_education_binary_lower,education_binary,phi_010
2024_10_education_binary_lower__phi_012,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,18,0.4,1,0,3.6,8,0.515625,2024_10_education_binary_lower,education_binary,phi_012
2024_10_education_binary_lower__phi_012_stable,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,10,0.2222222222222222,3,2,2.0,5,0.5714285714285714,2024_10_education_binary_lower,education_binary,phi_012_stable
2024_10_education_binary_lower__phi_014,2024,10,Delaware,lower,1349,328777.7729671034,650.6073209753836,10,16,0.35555555555555557,1,0,3.2,7,0.5,2024_10_education_binary_lower,education_binary,phi_014
2024_12_education_binary_higher__phi_010,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,23,0.5111111111111111,1,0,4.6,9,0.6226415094339622,2024_12_education_binary_higher,education_binary,phi_010
2024_12_education_binary_higher__phi_012,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,20,0.4444444444444444,2,1,4.0,7,0.6951219512195121,2024_12_education_binary_higher,education_binary,phi_012
2024_12_education_binary_higher__phi_012_stable,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,10,0.2222222222222222,2,1,2.0,4,0.16666666666666666,2024_12_education_binary_higher,education_binary,phi_012_stable
2024_12_education_binary_higher__phi_014,2024,12,Florida,higher,8633,11390032.978743833,2188.1128781209063,10,12,0.26666666666666666,2,1,2.4,5,0.23076923076923078,2024_12_education_binary_higher,education_binary,phi_014
2024_12_education_binary_lower__phi_010,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,27,0.6,1,0,5.4,8,0.6541353383458647,2024_12_education_binary_lower,education_binary,phi_010
2024_12_education_binary_lower__phi_012,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,25,0.5555555555555556,1,0,5.0,8,0.5892857142857143,2024_12_education_binary_lower,education_binary,phi_012
2024_12_education_binary_lower__phi_012_stable,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,12,0.26666666666666666,1,0,2.4,4,0.2608695652173913,2024_12_education_binary_lower,education_binary,phi_012_stable
2024_12_education_binary_lower__phi_014,2024,12,Florida,lower,4379,7329115.894313465,1036.7520276736052,10,17,0.37777777777777777,1,0,3.4,6,0.4117647058823529,2024_12_education_binary_lower,education_binary,phi_014
