graph_id_a,graph_id_b,state_a,state_b,ses_a,ses_b,same_state,same_ses,edge_jaccard,edge_agreement,association_correlation,common_association_count
2024_48_lower,2024_26_higher,48,26,lower,higher,False,False,0.8928571428571429,0.9333333333333333,0.879991124455913,45
2024_48_lower,2024_36_lower,48,36,lower,lower,False,True,0.8214285714285714,0.8888888888888888,0.8953298819405859,45
2024_48_lower,2024_36_higher,48,36,lower,higher,False,False,0.8571428571428571,0.9111111111111111,0.9080246532402934,45
2024_48_lower,2024_48_lower,48,48,lower,lower,True,True,1.0,1.0,1.0,45
2024_48_lower,2024_48_higher,48,48,lower,higher,True,False,0.7419354838709677,0.8222222222222222,0.8575119854015916,45
2024_48_higher,2024_06_lower,48,6,higher,lower,False,False,0.5806451612903226,0.7111111111111111,0.7612093958989734,45
2024_48_higher,2024_06_higher,48,6,higher,higher,False,True,0.78125,0.8444444444444444,0.8449251185250952,45
2024_48_higher,2024_12_lower,48,12,higher,lower,False,False,0.6486486486486487,0.7111111111111111,0.7575617511585568,45
2024_48_higher,2024_12_higher,48,12,higher,higher,False,True,0.7272727272727273,0.8,0.8894612521702987,45
2024_48_higher,2024_26_lower,48,26,higher,lower,False,False,0.8,0.8666666666666667,0.8378003367895823,45
2024_48_higher,2024_26_higher,48,26,higher,higher,False,True,0.7741935483870968,0.8444444444444444,0.8929839681500469,45
2024_48_higher,2024_36_lower,48,36,higher,lower,False,False,0.7666666666666667,0.8444444444444444,0.8417551259380311,45
2024_48_higher,2024_36_higher,48,36,higher,higher,False,True,0.8,0.8666666666666667,0.8958291269726834,45
2024_48_higher,2024_48_lower,48,48,higher,lower,True,False,0.7419354838709677,0.8222222222222222,0.8575119854015916,45
2024_48_higher,2024_48_higher,48,48,higher,higher,True,True,1.0,1.0,1.0,45
