graph_id,source_condition,target_condition,association,standard_error,p_value,n_complete,source_cases,target_cases,cooccurring_cases,weighted_n,kish_effective_n,weighted_source_prevalence,weighted_target_prevalence,weighted_joint_prevalence,estimator,inference_scope,pair_eligible,exclusion_reason,q_value,edge_present
2024_26_higher,ISCHEMIC_HEART_DISEASE,OTHER_CANCER,0.07942704590631366,,,7799,782,1103,170,4872442.743666899,3934.031333180035,0.06938202615043901,0.09785700283646073,0.012786202507942851,weighted_phi,descriptive,True,,,False
2024_26_higher,ISCHEMIC_HEART_DISEASE,COPD,0.12492208629493558,,,7801,780,636,154,4874042.948170061,3936.3345198335064,0.06892222072001228,0.06329855240707238,0.012068327628122417,weighted_phi,descriptive,True,,,True
2024_26_higher,ISCHEMIC_HEART_DISEASE,DEPRESSIVE_DISORDER,0.007672955084116604,,,7801,783,1916,219,4868929.912686275,3948.7513160828535,0.06984390981944526,0.2528336601313657,0.018508914871228334,weighted_phi,descriptive,True,,,False
2024_26_higher,ISCHEMIC_HEART_DISEASE,KIDNEY_DISEASE,0.16437628045623556,,,7798,780,482,143,4875532.638246831,3936.447899003458,0.06884553012025926,0.04531473995033903,0.011776125817179357,weighted_phi,descriptive,True,,,True
2024_26_higher,ISCHEMIC_HEART_DISEASE,ARTHRITIS,0.1648567892388208,,,7795,786,3036,500,4873289.036721075,3933.4007223136964,0.06982053354200146,0.3041989223633193,0.04056805472502066,weighted_phi,descriptive,True,,,True
2024_26_higher,ISCHEMIC_HEART_DISEASE,DIABETES,0.1790281083375848,,,7812,787,1177,266,4883430.812497674,3944.337468468001,0.06991255006762433,0.1262401044908505,0.02398772994294718,weighted_phi,descriptive,True,,,True
2024_26_higher,STROKE,CURRENT_ASTHMA,0.02308115859188819,,,7823,354,891,62,4889798.821398059,3952.041183129386,0.034451124831177606,0.12056656990305517,0.005524413806469909,weighted_phi,descriptive,True,,,False
2024_26_higher,STROKE,SKIN_CANCER,0.030748741684024788,,,7836,352,738,47,4894932.54910104,3954.715831329564,0.03449367356833688,0.059574018463087276,0.0033831326056215083,weighted_phi,descriptive,True,,,False
2024_26_higher,STROKE,OTHER_CANCER,0.05371191564429551,,,7849,356,1114,73,4898134.859937012,3958.194921641216,0.035150383165646226,0.09757525440179109,0.0063650287555419086,weighted_phi,descriptive,True,,,False
2024_26_higher,STROKE,COPD,0.10174128383928747,,,7848,354,643,75,4897369.7958690375,3958.3110037831443,0.0345038272778328,0.06349968603100789,0.006719393650987725,weighted_phi,descriptive,True,,,True
2024_26_higher,STROKE,DEPRESSIVE_DISORDER,0.03522023373691333,,,7853,356,1930,117,4895326.818339063,3973.663657525562,0.03493228273069207,0.2529807817479498,0.011648412502846917,weighted_phi,descriptive,True,,,False
2024_26_higher,STROKE,KIDNEY_DISEASE,0.0995329216628736,,,7852,357,488,64,4902631.885123717,3962.284725838289,0.035125365238035194,0.04543876370117465,0.005412223688071649,weighted_phi,descriptive,True,,,True
2024_26_higher,STROKE,ARTHRITIS,0.12082582528524854,,,7847,354,3058,215,4899447.970966876,3958.004282283629,0.03468882167584705,0.304236930601301,0.020726054233596913,weighted_phi,descriptive,True,,,True
2024_26_higher,STROKE,DIABETES,0.16011785836349166,,,7867,355,1191,129,4910601.888136787,3970.290083149054,0.03503458826472621,0.1267818423693857,0.014237417777356738,weighted_phi,descriptive,True,,,True
2024_26_higher,CURRENT_ASTHMA,SKIN_CANCER,0.022985564387296684,,,7792,884,731,85,4873914.923432531,3935.9074146785624,0.120351116105107,0.05991450447960964,0.008985721147511247,weighted_phi,descriptive,True,,,False
2024_26_higher,CURRENT_ASTHMA,OTHER_CANCER,0.007180416046253423,,,7806,888,1108,128,4878665.82770415,3941.041781545245,0.1205571144405014,0.097760886686966,0.01248014407052573,weighted_phi,descriptive,True,,,False
2024_26_higher,CURRENT_ASTHMA,COPD,0.20702848890640368,,,7808,886,635,210,4880945.092269225,3943.045590110932,0.12029578541661765,0.06353266304555238,0.0240700990943101,weighted_phi,descriptive,True,,,True
2024_26_higher,CURRENT_ASTHMA,DEPRESSIVE_DISORDER,0.14628484445556947,,,7812,889,1913,347,4877090.1584865395,3957.9193081266944,0.12106195690569539,0.2524031127122193,0.05128470140384411,weighted_phi,descriptive,True,,,True
2024_26_higher,CURRENT_ASTHMA,KIDNEY_DISEASE,0.016470186692556447,,,7807,888,481,77,4881562.303157407,3943.3928791490857,0.12084607615236223,0.04516602593297221,0.006572988784232564,weighted_phi,descriptive,True,,,False
2024_26_higher,CURRENT_ASTHMA,ARTHRITIS,0.1096795609436996,,,7804,888,3032,482,4878960.256667322,3939.9020437463805,0.12041408164421454,0.3030093663375188,0.0528904137701623,weighted_phi,descriptive,True,,,True
2024_26_higher,CURRENT_ASTHMA,DIABETES,0.022177696945964886,,,7822,892,1179,161,4889577.3454016,3951.4640079515234,0.12088351679510127,0.12617792817697557,0.01765346817503488,weighted_phi,descriptive,True,,,False
2024_26_higher,SKIN_CANCER,OTHER_CANCER,0.24950878832032652,,,7820,732,1098,299,4883792.587917618,3943.975809951336,0.05924714124380541,0.09608499754729623,0.023052728986370435,weighted_phi,descriptive,True,,,True
