graph_id,condition,n_valid,n_cases,unweighted_prevalence,weighted_prevalence,weighted_population_denominator,kish_effective_n
2024_12_lower,CURRENT_ASTHMA,4335,403,0.09296424452133795,0.07921707451722858,7224456.54693302,1037.9670840050424
2024_12_lower,SKIN_CANCER,4333,552,0.12739441495499654,0.06482239055554526,7275322.763327494,1027.7552749100666
2024_12_lower,OTHER_CANCER,4337,648,0.1494120359695642,0.09487724344479229,7288476.063003281,1027.4444712583972
2024_12_lower,COPD,4345,613,0.14108170310701956,0.08785052650459643,7238682.339307724,1040.3090665296372
2024_12_lower,DEPRESSIVE_DISORDER,4347,802,0.18449505406027145,0.17865474284711147,7304049.878583865,1030.742857900423
2024_12_lower,KIDNEY_DISEASE,4360,301,0.06903669724770642,0.05231009555782126,7282114.077703682,1034.9958873797643
2024_12_lower,ARTHRITIS,4339,1734,0.39963125144042405,0.26873618612349054,7277044.274862635,1025.3309870058736
2024_12_lower,DIABETES,4374,833,0.1904435299497028,0.1416716534494165,7321517.876177881,1034.9479972678978
2024_12_higher,ISCHEMIC_HEART_DISEASE,8563,911,0.1063879481490132,0.06163701083468222,11308273.072468327,2168.0417414281455
2024_12_higher,STROKE,8610,465,0.05400696864111498,0.036770547645144334,11359208.547381466,2187.3515643076817
2024_12_higher,CURRENT_ASTHMA,8564,802,0.093647828117702,0.09806425231511924,11318649.310734468,2169.0313835729535
2024_12_higher,SKIN_CANCER,8559,1490,0.17408575768197218,0.0960360841500323,11329790.546557453,2170.1916799542823
2024_12_higher,OTHER_CANCER,8578,1520,0.17719748193051993,0.1119069938209782,11344672.467947625,2175.56005782538
2024_12_higher,COPD,8604,774,0.0899581589958159,0.06014954235124444,11346394.497314515,2181.489278260413
2024_12_higher,DEPRESSIVE_DISORDER,8584,1596,0.1859273066169618,0.1808305233139239,11306597.634727025,2175.675613927836
2024_12_higher,KIDNEY_DISEASE,8595,516,0.0600349040139616,0.04074707550464706,11338645.925431233,2176.35495455191
2024_12_higher,ARTHRITIS,8595,3313,0.385456660849331,0.28106982516790613,11340257.754907047,2175.339837247868
2024_12_higher,DIABETES,8622,1286,0.1491533286940385,0.10503684038867403,11377249.814689286,2184.664532494013
2024_26_lower,ISCHEMIC_HEART_DISEASE,3405,444,0.1303964757709251,0.0937398278574331,2978036.1113798795,1593.8692699527837
2024_26_lower,STROKE,3444,217,0.06300813008130081,0.04947407563424086,3012719.913260729,1610.062056618162
2024_26_lower,CURRENT_ASTHMA,3420,453,0.1324561403508772,0.1371684561956408,2994460.4233157174,1597.200330058706
2024_26_lower,SKIN_CANCER,3442,231,0.06711214410226612,0.04520635802308194,3013630.7374158003,1610.3350901964307
2024_26_lower,OTHER_CANCER,3441,457,0.13281022958442312,0.08915116456858484,3011370.2166803093,1609.0799446970498
2024_26_lower,COPD,3441,535,0.15547805870386516,0.1295524339448692,3005025.5078776777,1617.1867434193684
2024_26_lower,DEPRESSIVE_DISORDER,3441,932,0.2708514966579483,0.2914532540023082,3003089.2169817714,1607.4498112189196
2024_26_lower,KIDNEY_DISEASE,3442,224,0.06507844276583381,0.0447110635105451,3017241.4192584353,1612.8719080247004
2024_26_lower,ARTHRITIS,3445,1484,0.4307692307692308,0.3315791274162531,3011105.6455405895,1611.238516552127
2024_26_lower,DIABETES,3447,646,0.18740934145633883,0.151603373248543,3007252.432596095,1613.8663520805483
2024_26_higher,ISCHEMIC_HEART_DISEASE,7826,788,0.10069000766675185,0.0698654305602742,4888397.114782379,3949.972775174506
2024_26_higher,STROKE,7881,357,0.04529881994670727,0.03502947791385527,4916052.018134541,3976.5127334851613
2024_26_higher,CURRENT_ASTHMA,7836,892,0.1138335885655947,0.12075003595242463,4894982.436168231,3957.61771006962
2024_26_higher,SKIN_CANCER,7850,741,0.09439490445859873,0.06001682311974916,4900774.247106975,3961.072189827017
2024_26_higher,OTHER_CANCER,7863,1117,0.1420577387765484,0.09795332419723944,4903976.557942949,3964.5520165708976
2024_26_higher,COPD,7861,647,0.08230505024806005,0.06386547288548185,4902553.410639211,3963.887635558338
2024_26_higher,DEPRESSIVE_DISORDER,7866,1933,0.24574116450546657,0.253009651585933,4900510.433109235,3979.252148257496
2024_26_higher,KIDNEY_DISEASE,7865,488,0.062047043865225686,0.04539077146375967,4907815.49989389,3967.861161680299
2024_26_higher,ARTHRITIS,7860,3067,0.3902035623409669,0.30477304577325903,4904631.585737049,3963.579522918377
2024_26_higher,DIABETES,7879,1192,0.1512882345475314,0.12677851282485178,4915713.674144734,3975.7547961931973
2024_36_lower,ISCHEMIC_HEART_DISEASE,14017,1403,0.10009274452450596,0.07750420106934887,5627275.799114052,5550.352444194189
2024_36_lower,STROKE,14234,656,0.04608683434031193,0.03525646782093038,5724775.015322076,5646.136358198705
2024_36_lower,CURRENT_ASTHMA,14157,1779,0.12566221657130747,0.10618896534476227,5693243.58052428,5620.090505173775
2024_36_lower,SKIN_CANCER,14185,563,0.03968981318293972,0.025063357324261293,5721307.225356925,5634.464508495614
2024_36_lower,OTHER_CANCER,14208,1208,0.08502252252252253,0.05772589122514282,5711958.016026583,5646.361445366814
2024_36_lower,COPD,14207,1586,0.11163510945308651,0.06876917640018491,5710645.348221239,5642.889397013524
2024_36_lower,DEPRESSIVE_DISORDER,14211,2617,0.18415312082189852,0.15370129427674714,5704329.481709318,5652.020151956604
2024_36_lower,KIDNEY_DISEASE,14213,755,0.053120382748188276,0.043185822856317314,5709215.725700717,5643.477183049286
2024_36_lower,ARTHRITIS,14189,4724,0.33293396292902955,0.24893003830104343,5702968.566294264,5632.148813638072
2024_36_lower,DIABETES,14244,2399,0.16842179163156418,0.1547124121331701,5723842.4132993845,5649.272385149053
2024_36_higher,ISCHEMIC_HEART_DISEASE,29061,2163,0.07442964798183133,0.05782107089111848,9536002.064754207,11050.951150893077
2024_36_higher,STROKE,29254,941,0.03216654132768169,0.025785395990641013,9604974.139055828,11144.284972738398
2024_36_higher,CURRENT_ASTHMA,29095,3392,0.11658360543048633,0.10653373845881225,9539525.34862214,11080.644438191484
2024_36_higher,SKIN_CANCER,29153,2096,0.0718965458100367,0.05134925517269819,9580049.96911098,11104.343905710375
2024_36_higher,OTHER_CANCER,29180,3327,0.11401644962302947,0.0873500491787645,9585802.154891739,11104.95525478816
2024_36_higher,COPD,29213,1738,0.059494060863314276,0.04495971180366222,9578749.597708583,11128.105100373356
2024_36_higher,DEPRESSIVE_DISORDER,29146,5332,0.18294105537638097,0.16350451692743398,9545832.528896771,11106.201600340968
2024_36_higher,KIDNEY_DISEASE,29209,1224,0.041904892327707215,0.03314167068078066,9584899.40938926,11142.121351718453
2024_36_higher,ARTHRITIS,29163,9242,0.3169084113431403,0.2467510659207862,9567885.46582965,11134.760646205772
2024_36_higher,DIABETES,29248,3425,0.11710202407002188,0.10385251927146343,9597402.935514344,11131.068225601392
2024_48_lower,ISCHEMIC_HEART_DISEASE,3882,355,0.09144770736733643,0.06627093778597044,9494295.812624391,1179.3932065365984
2024_48_lower,STROKE,3922,205,0.05226925038245793,0.035943351331252,9611314.987262987,1194.1893592681006
2024_48_lower,CURRENT_ASTHMA,3905,384,0.09833546734955186,0.08829443316075394,9557172.120336898,1189.0896302592073
2024_48_lower,SKIN_CANCER,3925,166,0.04229299363057325,0.024171478771904627,9620114.72479971,1196.2874871500505
2024_48_lower,OTHER_CANCER,3912,281,0.07183026584867076,0.05114217949356079,9576202.995743856,1195.4888715725021
2024_48_lower,COPD,3912,362,0.09253578732106339,0.06705790998400885,9589407.26881522,1192.1858082334243
2024_48_lower,DEPRESSIVE_DISORDER,3912,890,0.22750511247443764,0.2154455706661047,9570237.000048196,1188.9763659002797
2024_48_lower,KIDNEY_DISEASE,3924,221,0.05632008154943935,0.05214443609465077,9590338.019440431,1194.4788606866084
2024_48_lower,ARTHRITIS,3919,1100,0.28068384792038786,0.20276223157523643,9587112.468494814,1193.9592676515676
2024_48_lower,DIABETES,3926,704,0.1793173713703515,0.17558680015940376,9598610.783839481,1194.7968808936605
2024_48_higher,ISCHEMIC_HEART_DISEASE,8212,686,0.08353628835849976,0.05623509228324897,13845270.214407472,2617.970087792212
2024_48_higher,STROKE,8249,322,0.03903503454964238,0.02989933714130481,13915709.730278485,2623.557408179213
2024_48_higher,CURRENT_ASTHMA,8210,795,0.09683313032886723,0.08401387415738908,13834160.288769003,2607.462861902469
2024_48_higher,SKIN_CANCER,8233,674,0.08186566257743229,0.052840378283320395,13905172.292474134,2620.0012621048436
2024_48_higher,OTHER_CANCER,8230,885,0.10753341433778858,0.08501675060082542,13889037.371665502,2615.5414353440597
2024_48_higher,COPD,8235,516,0.06265938069216757,0.05177996909569773,13881567.322211454,2626.0628822957938
2024_48_higher,DEPRESSIVE_DISORDER,8233,1902,0.23102149884610712,0.21875016725539018,13887284.53115729,2616.5612475916178
2024_48_higher,KIDNEY_DISEASE,8245,395,0.04790782292298363,0.03299574010400336,13915467.711552942,2623.1147398139333
2024_48_higher,ARTHRITIS,8233,2355,0.28604396939147336,0.2204134168305169,13877818.003782766,2616.8186978461067
2024_48_higher,DIABETES,8257,1100,0.13322029792902992,0.107927377659423,13898893.683229394,2629.8103960709773
