null_replicate,graph_index,target_swaps,accepted_swaps,changed
6,7,150,150,True
6,8,150,150,True
6,9,70,70,True
6,10,120,120,True
6,11,100,100,True
6,12,70,70,True
6,13,80,80,True
6,14,100,100,True
6,15,100,100,True
6,16,100,100,True
6,17,120,120,True
6,18,130,130,True
6,19,170,170,True
6,20,50,50,True
6,21,70,70,True
6,22,120,120,True
6,23,80,80,True
6,24,120,120,True
6,25,100,100,True
6,26,130,130,True
6,27,140,140,True
6,28,100,100,True
6,29,120,120,True
6,30,120,120,True
6,31,130,130,True
6,32,130,130,True
6,33,210,210,True
6,34,100,100,True
6,35,130,130,True
6,36,120,120,True
6,37,170,170,True
6,38,80,80,True
6,39,120,120,True
6,40,80,80,True
6,41,100,100,True
6,42,130,130,True
6,43,170,170,True
6,44,90,90,True
6,45,110,110,True
6,46,130,130,True
6,47,110,110,True
6,48,40,40,True
6,49,130,130,True
6,50,110,110,True
6,51,150,150,True
6,52,80,80,True
6,53,70,70,True
6,54,70,70,True
6,55,90,90,True
6,56,20,20,False
6,57,90,90,True
6,58,130,130,True
6,59,150,150,True
6,60,90,90,True
6,61,110,110,True
6,62,100,100,True
6,63,150,150,True
6,64,100,100,True
6,65,160,160,True
6,66,130,130,True
6,67,140,140,True
6,68,110,110,True
6,69,130,130,True
6,70,130,130,True
6,71,80,80,True
6,72,100,100,True
6,73,90,90,True
6,74,140,140,True
6,75,190,190,True
6,76,50,50,True
6,77,60,60,True
6,78,130,130,True
6,79,130,130,True
6,80,110,110,True
6,81,110,110,True
6,82,100,100,True
6,83,120,120,True
6,84,140,140,True
6,85,120,120,True
6,86,110,110,True
6,87,120,120,True
6,88,130,130,True
6,89,140,140,True
6,90,120,120,True
6,91,110,110,True
6,92,80,80,True
6,93,160,160,True
7,0,110,110,True
7,1,130,130,True
7,2,70,70,True
7,3,70,70,True
7,4,90,90,True
7,5,90,90,True
7,6,170,170,True
7,7,150,150,True
7,8,150,150,True
7,9,70,70,True
7,10,120,120,True
7,11,100,100,True
7,12,70,70,True
7,13,80,80,True
7,14,100,100,True
7,15,100,100,True
7,16,100,100,True
7,17,120,120,True
7,18,130,130,True
7,19,170,170,True
7,20,50,50,True
7,21,70,70,True
7,22,120,120,True
7,23,80,80,True
7,24,120,120,True
7,25,100,100,True
7,26,130,130,True
7,27,140,140,True
7,28,100,100,True
7,29,120,120,True
7,30,120,120,True
7,31,130,130,True
7,32,130,130,True
7,33,210,210,True
7,34,100,100,True
7,35,130,130,True
7,36,120,120,True
7,37,170,170,True
7,38,80,80,True
7,39,120,120,True
7,40,80,80,True
7,41,100,100,True
7,42,130,130,True
7,43,170,170,True
7,44,90,90,True
7,45,110,110,True
7,46,130,130,True
7,47,110,110,True
7,48,40,40,True
7,49,130,130,True
7,50,110,110,True
7,51,150,150,True
7,52,80,80,True
7,53,70,70,True
7,54,70,70,True
7,55,90,90,True
7,56,20,20,True
7,57,90,90,True
7,58,130,130,True
7,59,150,150,True
7,60,90,90,True
7,61,110,110,True
7,62,100,100,True
7,63,150,150,True
7,64,100,100,True
7,65,160,160,True
7,66,130,130,True
7,67,140,140,True
7,68,110,110,True
7,69,130,130,True
7,70,130,130,True
7,71,80,80,True
7,72,100,100,True
7,73,90,90,True
7,74,140,140,True
7,75,190,190,True
7,76,50,50,True
7,77,60,60,True
7,78,130,130,True
7,79,130,130,True
7,80,110,110,True
7,81,110,110,True
7,82,100,100,True
7,83,120,120,True
7,84,140,140,True
7,85,120,120,True
7,86,110,110,True
7,87,120,120,True
7,88,130,130,True
7,89,140,140,True
7,90,120,120,True
7,91,110,110,True
7,92,80,80,True
7,93,160,160,True
8,0,110,110,True
8,1,130,130,True
8,2,70,70,True
8,3,70,70,True
8,4,90,90,True
8,5,90,90,True
8,6,170,170,True
8,7,150,150,True
8,8,150,150,True
8,9,70,70,True
8,10,120,120,True
8,11,100,100,True
8,12,70,70,True
8,13,80,80,True
8,14,100,100,True
8,15,100,100,True
8,16,100,100,True
8,17,120,120,True
8,18,130,130,True
8,19,170,170,True
8,20,50,50,True
8,21,70,70,True
8,22,120,120,True
8,23,80,80,True
8,24,120,120,True
8,25,100,100,True
8,26,130,130,True
8,27,140,140,True
8,28,100,100,True
8,29,120,120,True
8,30,120,120,True
8,31,130,130,True
8,32,130,130,True
8,33,210,210,True
8,34,100,100,True
8,35,130,130,True
8,36,120,120,True
8,37,170,170,True
8,38,80,80,True
8,39,120,120,True
8,40,80,80,True
8,41,100,100,True
8,42,130,130,True
8,43,170,170,True
8,44,90,90,True
8,45,110,110,True
8,46,130,130,True
8,47,110,110,True
8,48,40,40,True
8,49,130,130,True
8,50,110,110,True
8,51,150,150,True
8,52,80,80,True
8,53,70,70,True
8,54,70,70,True
8,55,90,90,True
8,56,20,20,True
8,57,90,90,True
8,58,130,130,True
8,59,150,150,True
8,60,90,90,True
8,61,110,110,True
8,62,100,100,True
8,63,150,150,True
8,64,100,100,True
8,65,160,160,True
8,66,130,130,True
8,67,140,140,True
8,68,110,110,True
8,69,130,130,True
8,70,130,130,True
8,71,80,80,True
8,72,100,100,True
8,73,90,90,True
8,74,140,140,True
8,75,190,190,True
8,76,50,50,True
8,77,60,60,True
8,78,130,130,True
8,79,130,130,True
8,80,110,110,True
8,81,110,110,True
8,82,100,100,True
8,83,120,120,True
8,84,140,140,True
8,85,120,120,True
8,86,110,110,True
8,87,120,120,True
8,88,130,130,True
8,89,140,140,True
8,90,120,120,True
8,91,110,110,True
8,92,80,80,True
8,93,160,160,True
9,0,110,110,True
9,1,130,130,True
9,2,70,70,True
9,3,70,70,True
9,4,90,90,True
9,5,90,90,True
9,6,170,170,True
9,7,150,150,True
9,8,150,150,True
9,9,70,70,True
9,10,120,120,True
9,11,100,100,True
9,12,70,70,True
