bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
68,0.3,342,2248,342,1906,1.0,0.152135231316726
69,0.1,1098,11031,1098,9933,1.0,0.09953766657601305
69,0.2,542,4896,542,4354,1.0,0.11070261437908496
69,0.3,342,2427,342,2085,1.0,0.14091470951792337
70,0.1,1098,12578,1098,11480,1.0,0.08729527746859596
70,0.2,542,5010,542,4468,1.0,0.10818363273453094
70,0.3,342,2323,342,1981,1.0,0.14722341799397332
71,0.1,1098,11637,1098,10539,1.0,0.09435421500386698
71,0.2,542,4899,542,4357,1.0,0.11063482343335375
71,0.3,342,2070,342,1728,1.0,0.16521739130434782
72,0.1,1098,11211,1098,10113,1.0,0.09793952368209793
72,0.2,542,4962,542,4420,1.0,0.10923014913341395
72,0.3,342,2192,342,1850,1.0,0.15602189781021897
73,0.1,1098,12039,1098,10941,1.0,0.09120358833790182
73,0.2,542,5299,542,4757,1.0,0.10228344970749198
73,0.3,342,2259,342,1917,1.0,0.15139442231075698
74,0.1,1098,10029,1098,8931,1.0,0.1094825007478313
74,0.2,542,3851,542,3309,1.0,0.14074266424305376
74,0.3,342,1763,342,1421,1.0,0.19398752127056154
75,0.1,1098,13521,1098,12423,1.0,0.08120701131573109
75,0.2,542,5580,542,5038,1.0,0.09713261648745519
75,0.3,342,2544,342,2202,1.0,0.13443396226415094
76,0.1,1098,11069,1098,9971,1.0,0.0991959526605836
76,0.2,542,4855,542,4313,1.0,0.11163748712667353
76,0.3,342,2055,342,1713,1.0,0.16642335766423358
77,0.1,1098,12346,1098,11248,1.0,0.08893568767212053
77,0.2,542,5063,542,4521,1.0,0.10705115544143788
77,0.3,342,2009,342,1667,1.0,0.17023394723743157
78,0.1,1098,12980,1098,11882,1.0,0.08459167950693375
78,0.2,542,5345,542,4803,1.0,0.10140318054256314
78,0.3,342,2468,342,2126,1.0,0.1385737439222042
79,0.1,1098,11874,1098,10776,1.0,0.09247094492167761
79,0.2,542,4954,542,4412,1.0,0.10940654016955995
79,0.3,342,2052,342,1710,1.0,0.16666666666666666
80,0.1,1098,12068,1098,10970,1.0,0.09098442161087172
80,0.2,542,5411,542,4869,1.0,0.10016632785067456
80,0.3,342,2119,342,1777,1.0,0.16139688532326568
81,0.1,1098,11403,1098,10305,1.0,0.0962904498816101
81,0.2,542,5002,542,4460,1.0,0.10835665733706518
81,0.3,342,2401,342,2059,1.0,0.14244064972927947
82,0.1,1098,13147,1098,12049,1.0,0.08351715220202327
82,0.2,542,5588,542,5046,1.0,0.09699355762347889
82,0.3,342,2579,342,2237,1.0,0.1326095385808453
83,0.1,1098,9819,1098,8721,1.0,0.11182401466544455
83,0.2,542,4069,542,3527,1.0,0.13320226099778815
83,0.3,342,1907,342,1565,1.0,0.1793392763502884
84,0.1,1098,15270,1098,14172,1.0,0.0719056974459725
84,0.2,542,6113,542,5571,1.0,0.08866350400785211
84,0.3,342,2612,342,2270,1.0,0.13093415007656967
85,0.1,1098,12206,1098,11108,1.0,0.0899557594625594
85,0.2,542,5057,542,4515,1.0,0.10717816887482698
85,0.3,342,2066,342,1724,1.0,0.16553727008712488
86,0.1,1098,10919,1098,9821,1.0,0.1005586592178771
86,0.2,542,4962,542,4420,1.0,0.10923014913341395
86,0.3,342,2240,342,1898,1.0,0.15267857142857144
87,0.1,1098,12058,1098,10960,1.0,0.09105987725991044
87,0.2,542,5050,542,4508,1.0,0.10732673267326732
87,0.3,342,2044,342,1702,1.0,0.16731898238747553
88,0.1,1098,10790,1098,9692,1.0,0.10176088971269694
88,0.2,542,4284,542,3742,1.0,0.1265172735760971
88,0.3,342,1852,342,1510,1.0,0.18466522678185746
89,0.1,1098,13414,1098,12316,1.0,0.08185477858953333
89,0.2,542,5343,542,4801,1.0,0.1014411379374883
89,0.3,342,2178,342,1836,1.0,0.15702479338842976
90,0.1,1098,11820,1098,10722,1.0,0.09289340101522843
90,0.2,542,4701,542,4159,1.0,0.11529461816634759
90,0.3,342,1942,342,1600,1.0,0.17610710607621008
91,0.1,1098,12818,1098,11720,1.0,0.08566078951474489
91,0.2,542,5303,542,4761,1.0,0.10220629832170469
91,0.3,342,2323,342,1981,1.0,0.14722341799397332
92,0.1,1098,11239,1098,10141,1.0,0.09769552451285701
92,0.2,542,4690,542,4148,1.0,0.11556503198294243
92,0.3,342,2029,342,1687,1.0,0.1685559388861508
93,0.1,1098,11299,1098,10201,1.0,0.09717674130454022
93,0.2,542,5005,542,4463,1.0,0.1082917082917083
93,0.3,342,2272,342,1930,1.0,0.1505281690140845
94,0.1,1098,12416,1098,11318,1.0,0.08843427835051547
94,0.2,542,5414,542,4872,1.0,0.10011082379017362
94,0.3,342,2491,342,2149,1.0,0.13729425933360095
95,0.1,1098,9900,1098,8802,1.0,0.11090909090909092
95,0.2,542,4338,542,3796,1.0,0.12494236975564776
95,0.3,342,1772,342,1430,1.0,0.1930022573363431
96,0.1,1098,11162,1098,10064,1.0,0.09836946783730514
96,0.2,542,4700,542,4158,1.0,0.11531914893617021
96,0.3,342,1968,342,1626,1.0,0.17378048780487804
97,0.1,1098,12111,1098,11013,1.0,0.09066138221451572
97,0.2,542,5263,542,4721,1.0,0.10298308949268478
97,0.3,342,2360,342,2018,1.0,0.14491525423728813
98,0.1,1098,12294,1098,11196,1.0,0.08931185944363104
98,0.2,542,5149,542,4607,1.0,0.10526315789473684
98,0.3,342,2225,342,1883,1.0,0.15370786516853932
99,0.1,1098,10918,1098,9820,1.0,0.1005678695731819
99,0.2,542,4968,542,4426,1.0,0.10909822866344605
99,0.3,342,2213,342,1871,1.0,0.15454134658834162
100,0.1,1098,11249,1098,10151,1.0,0.0976086763267846
100,0.2,542,4930,542,4388,1.0,0.10993914807302231
100,0.3,342,2119,342,1777,1.0,0.16139688532326568
101,0.1,1098,10582,1098,9484,1.0,0.10376110376110376
101,0.2,542,4621,542,4079,1.0,0.11729062973382384
101,0.3,342,1931,342,1589,1.0,0.17711030554117038
102,0.1,1098,9832,1098,8734,1.0,0.11167615947925143
102,0.2,542,4266,542,3724,1.0,0.12705110173464604
102,0.3,342,1848,342,1506,1.0,0.18506493506493507
103,0.1,1098,12896,1098,11798,1.0,0.08514267990074442
103,0.2,542,5364,542,4822,1.0,0.10104399701715137
103,0.3,342,2515,342,2173,1.0,0.1359840954274354
104,0.1,1098,12766,1098,11668,1.0,0.08600971330095566
104,0.2,542,5660,542,5118,1.0,0.09575971731448764
104,0.3,342,2555,342,2213,1.0,0.13385518590998044
105,0.1,1098,13961,1098,12863,1.0,0.07864766134231073
105,0.2,542,5830,542,5288,1.0,0.09296740994854202
105,0.3,342,2384,342,2042,1.0,0.14345637583892618
106,0.1,1098,11564,1098,10466,1.0,0.09494984434451746
106,0.2,542,4595,542,4053,1.0,0.11795429815016321
106,0.3,342,1996,342,1654,1.0,0.1713426853707415
107,0.1,1098,11034,1098,9936,1.0,0.09951060358890701
107,0.2,542,4539,542,3997,1.0,0.11940956157743997
107,0.3,342,1912,342,1570,1.0,0.1788702928870293
108,0.1,1098,11088,1098,9990,1.0,0.09902597402597403
108,0.2,542,4764,542,4222,1.0,0.11376994122586062
108,0.3,342,2257,342,1915,1.0,0.15152857775808595
109,0.1,1098,10592,1098,9494,1.0,0.10366314199395771
109,0.2,542,4405,542,3863,1.0,0.12304199772985244
109,0.3,342,1932,342,1590,1.0,0.17701863354037267
110,0.1,1098,11273,1098,10175,1.0,0.09740086933380644
110,0.2,542,4869,542,4327,1.0,0.1113164920928322
110,0.3,342,2064,342,1722,1.0,0.16569767441860464
111,0.1,1098,14635,1098,13537,1.0,0.07502562350529553
111,0.2,542,6079,542,5537,1.0,0.08915940121730548
111,0.3,342,2447,342,2105,1.0,0.13976297507151614
112,0.1,1098,10839,1098,9741,1.0,0.1013008580127318
112,0.2,542,4981,542,4439,1.0,0.10881349126681389
112,0.3,342,1965,342,1623,1.0,0.17404580152671756
113,0.1,1098,12540,1098,11442,1.0,0.08755980861244018
113,0.2,542,4970,542,4428,1.0,0.1090543259557344
113,0.3,342,2277,342,1935,1.0,0.15019762845849802
114,0.1,1098,10535,1098,9437,1.0,0.10422401518747033
114,0.2,542,4323,542,3781,1.0,0.12537589636826277
114,0.3,342,1827,342,1485,1.0,0.18719211822660098
115,0.1,1098,11007,1098,9909,1.0,0.09975470155355683
115,0.2,542,4641,542,4099,1.0,0.11678517560870502
115,0.3,342,2058,342,1716,1.0,0.1661807580174927
116,0.1,1098,12744,1098,11646,1.0,0.08615819209039548
116,0.2,542,5482,542,4940,1.0,0.09886902590295513
116,0.3,342,2514,342,2172,1.0,0.1360381861575179
117,0.1,1098,13153,1098,12055,1.0,0.08347905420816544
117,0.2,542,5180,542,4638,1.0,0.10463320463320464
117,0.3,342,2376,342,2034,1.0,0.14393939393939395
118,0.1,1098,13439,1098,12341,1.0,0.08170250762705558
118,0.2,542,5650,542,5108,1.0,0.09592920353982301
118,0.3,342,2595,342,2253,1.0,0.13179190751445086
119,0.1,1098,12044,1098,10946,1.0,0.09116572567253405
119,0.2,542,5221,542,4679,1.0,0.10381153035816894
119,0.3,342,2215,342,1873,1.0,0.15440180586907448
120,0.1,1098,9616,1098,8518,1.0,0.1141846921797005
120,0.2,542,4479,542,3937,1.0,0.12100915382897968
120,0.3,342,2154,342,1812,1.0,0.15877437325905291
121,0.1,1098,12923,1098,11825,1.0,0.084964791457092
121,0.2,542,5496,542,4954,1.0,0.09861717612809316
121,0.3,342,2458,342,2116,1.0,0.13913751017087062
122,0.1,1098,11835,1098,10737,1.0,0.09277566539923954
122,0.2,542,4922,542,4380,1.0,0.11011783827712313
122,0.3,342,2084,342,1742,1.0,0.16410748560460653
123,0.1,1098,13133,1098,12035,1.0,0.0836061828980431
123,0.2,542,5687,542,5145,1.0,0.09530508176542993
123,0.3,342,2505,342,2163,1.0,0.13652694610778443
124,0.1,1098,12156,1098,11058,1.0,0.09032576505429418
124,0.2,542,4639,542,4097,1.0,0.11683552489760725
124,0.3,342,1877,342,1535,1.0,0.1822056473095365
125,0.1,1098,9723,1098,8625,1.0,0.11292810860845418
125,0.2,542,4004,542,3462,1.0,0.13536463536463536
125,0.3,342,1647,342,1305,1.0,0.20765027322404372
126,0.1,1098,10800,1098,9702,1.0,0.10166666666666667
126,0.2,542,4449,542,3907,1.0,0.1218251292425264
126,0.3,342,1764,342,1422,1.0,0.19387755102040816
127,0.1,1098,11614,1098,10516,1.0,0.09454107112106079
127,0.2,542,5065,542,4523,1.0,0.10700888450148074
127,0.3,342,2059,342,1717,1.0,0.16610004856726565
128,0.1,1098,12190,1098,11092,1.0,0.09007383100902379
128,0.2,542,5135,542,4593,1.0,0.10555014605647517
128,0.3,342,2209,342,1867,1.0,0.15482118605703937
129,0.1,1098,9763,1098,8665,1.0,0.11246543070777425
129,0.2,542,4105,542,3563,1.0,0.1320341047503045
129,0.3,342,1805,342,1463,1.0,0.18947368421052632
130,0.1,1098,10729,1098,9631,1.0,0.10233945381675832
130,0.2,542,4484,542,3942,1.0,0.12087421944692239
130,0.3,342,2045,342,1703,1.0,0.16723716381418094
131,0.1,1098,11339,1098,10241,1.0,0.09683393597318987
131,0.2,542,4685,542,4143,1.0,0.11568836712913554
131,0.3,342,2197,342,1855,1.0,0.15566681838871188
132,0.1,1098,12053,1098,10955,1.0,0.0910976520368373
132,0.2,542,5102,542,4560,1.0,0.1062328498627989
132,0.3,342,2075,342,1733,1.0,0.16481927710843375
133,0.1,1098,9690,1098,8592,1.0,0.11331269349845201
133,0.2,542,4091,542,3549,1.0,0.13248594475678319
133,0.3,342,1897,342,1555,1.0,0.18028465998945703
134,0.1,1098,9878,1098,8780,1.0,0.11115610447459
134,0.2,542,4475,542,3933,1.0,0.12111731843575418
134,0.3,342,1932,342,1590,1.0,0.17701863354037267
135,0.1,1098,10587,1098,9489,1.0,0.10371209974497024
135,0.2,542,4448,542,3906,1.0,0.12185251798561152
135,0.3,342,2071,342,1729,1.0,0.1651376146788991
136,0.1,1098,11918,1098,10820,1.0,0.09212955193824467
136,0.2,542,4707,542,4165,1.0,0.11514765243254727
136,0.3,342,1964,342,1622,1.0,0.17413441955193482
137,0.1,1098,11926,1098,10828,1.0,0.09206775113198054
137,0.2,542,5071,542,4529,1.0,0.1068822717412739
137,0.3,342,2030,342,1688,1.0,0.1684729064039409
138,0.1,1098,9088,1098,7990,1.0,0.12081866197183098
138,0.2,542,3883,542,3341,1.0,0.13958279680659283
138,0.3,342,1656,342,1314,1.0,0.20652173913043478
139,0.1,1098,9902,1098,8804,1.0,0.11088668955766512
139,0.2,542,4353,542,3811,1.0,0.12451183092120377
139,0.3,342,1992,342,1650,1.0,0.1716867469879518
140,0.1,1098,9190,1098,8092,1.0,0.11947769314472252
140,0.2,542,3927,542,3385,1.0,0.13801884390119684
140,0.3,342,1621,342,1279,1.0,0.21098087600246762
141,0.1,1098,12334,1098,11236,1.0,0.08902221501540457
141,0.2,542,5641,542,5099,1.0,0.09608225491934054
141,0.3,342,2351,342,2009,1.0,0.14547001276052743
142,0.1,1098,12494,1098,11396,1.0,0.08788218344805507
142,0.2,542,5396,542,4854,1.0,0.10044477390659748
142,0.3,342,2589,342,2247,1.0,0.1320973348783314
143,0.1,1098,11814,1098,10716,1.0,0.09294057897409853
143,0.2,542,5304,542,4762,1.0,0.10218702865761689
143,0.3,342,2507,342,2165,1.0,0.1364180295173514
144,0.1,1098,12311,1098,11213,1.0,0.08918853058240597
144,0.2,542,5382,542,4840,1.0,0.10070605722779635
144,0.3,342,2416,342,2074,1.0,0.14155629139072848
145,0.1,1098,11851,1098,10753,1.0,0.09265040924816471
145,0.2,542,5439,542,4897,1.0,0.09965067107924251
145,0.3,342,2328,342,1986,1.0,0.14690721649484537
146,0.1,1098,11412,1098,10314,1.0,0.09621451104100946
146,0.2,542,5325,542,4783,1.0,0.10178403755868545
146,0.3,342,2493,342,2151,1.0,0.1371841155234657
147,0.1,1098,11651,1098,10553,1.0,0.09424083769633508
147,0.2,542,5530,542,4988,1.0,0.09801084990958409
147,0.3,342,2488,342,2146,1.0,0.13745980707395497
148,0.1,1098,12207,1098,11109,1.0,0.08994839026787908
148,0.2,542,4947,542,4405,1.0,0.1095613503133212
148,0.3,342,2138,342,1796,1.0,0.1599625818521983
149,0.1,1098,12345,1098,11247,1.0,0.08894289185905224
149,0.2,542,4755,542,4213,1.0,0.11398527865404837
149,0.3,342,2242,342,1900,1.0,0.15254237288135594
150,0.1,1098,13179,1098,12081,1.0,0.08331436376052812
150,0.2,542,5429,542,4887,1.0,0.09983422361392522
150,0.3,342,2615,342,2273,1.0,0.13078393881453154
151,0.1,1098,11980,1098,10882,1.0,0.09165275459098497
151,0.2,542,5060,542,4518,1.0,0.10711462450592886
151,0.3,342,2226,342,1884,1.0,0.15363881401617252
152,0.1,1098,11957,1098,10859,1.0,0.09182905411056284
152,0.2,542,5532,542,4990,1.0,0.09797541576283442
152,0.3,342,2587,342,2245,1.0,0.13219945883262466
153,0.1,1098,10974,1098,9876,1.0,0.10005467468562056
153,0.2,542,4865,542,4323,1.0,0.11140801644398766
