bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
262,0.3,342,319,319,0,0.9327485380116959,0.9327485380116959
263,0.1,1098,1039,1039,0,0.9462659380692168,0.9462659380692168
263,0.2,542,530,530,0,0.977859778597786,0.977859778597786
263,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
264,0.1,1098,1044,1044,0,0.9508196721311475,0.9508196721311475
264,0.2,542,534,534,0,0.985239852398524,0.985239852398524
264,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
265,0.1,1098,1005,1005,0,0.9153005464480874,0.9153005464480874
265,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
265,0.3,342,290,290,0,0.847953216374269,0.847953216374269
266,0.1,1098,1002,1002,0,0.912568306010929,0.912568306010929
266,0.2,542,515,515,0,0.9501845018450185,0.9501845018450185
266,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
267,0.1,1098,984,984,0,0.8961748633879781,0.8961748633879781
267,0.2,542,521,521,0,0.9612546125461254,0.9612546125461254
267,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
268,0.1,1098,1018,1018,0,0.9271402550091075,0.9271402550091075
268,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
268,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
269,0.1,1098,1001,1001,0,0.9116575591985429,0.9116575591985429
269,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
269,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
270,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
270,0.2,542,534,534,0,0.985239852398524,0.985239852398524
270,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
271,0.1,1098,1034,1034,0,0.941712204007286,0.941712204007286
271,0.2,542,496,496,0,0.915129151291513,0.915129151291513
271,0.3,342,301,301,0,0.8801169590643275,0.8801169590643275
272,0.1,1098,1022,1022,0,0.930783242258652,0.930783242258652
272,0.2,542,495,495,0,0.9132841328413284,0.9132841328413284
272,0.3,342,314,314,0,0.9181286549707602,0.9181286549707602
273,0.1,1098,1044,1044,0,0.9508196721311475,0.9508196721311475
273,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
273,0.3,342,331,331,0,0.9678362573099415,0.9678362573099415
274,0.1,1098,1049,1049,0,0.9553734061930783,0.9553734061930783
274,0.2,542,529,529,0,0.9760147601476015,0.9760147601476015
274,0.3,342,323,323,0,0.9444444444444444,0.9444444444444444
275,0.1,1098,1004,1004,0,0.9143897996357013,0.9143897996357013
275,0.2,542,530,530,0,0.977859778597786,0.977859778597786
275,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
276,0.1,1098,1002,1002,0,0.912568306010929,0.912568306010929
276,0.2,542,534,534,0,0.985239852398524,0.985239852398524
276,0.3,342,334,334,0,0.9766081871345029,0.9766081871345029
277,0.1,1098,1040,1040,0,0.9471766848816029,0.9471766848816029
277,0.2,542,541,541,0,0.9981549815498155,0.9981549815498155
277,0.3,342,329,329,0,0.9619883040935673,0.9619883040935673
278,0.1,1098,1013,1013,0,0.9225865209471766,0.9225865209471766
278,0.2,542,531,531,0,0.9797047970479705,0.9797047970479705
278,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
279,0.1,1098,1067,1067,0,0.9717668488160291,0.9717668488160291
279,0.2,542,514,514,0,0.948339483394834,0.948339483394834
279,0.3,342,321,321,0,0.9385964912280702,0.9385964912280702
280,0.1,1098,1084,1084,0,0.9872495446265938,0.9872495446265938
280,0.2,542,538,538,0,0.992619926199262,0.992619926199262
280,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
281,0.1,1098,987,987,0,0.8989071038251366,0.8989071038251366
281,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
281,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
282,0.1,1098,1027,1027,0,0.9353369763205829,0.9353369763205829
282,0.2,542,514,514,0,0.948339483394834,0.948339483394834
282,0.3,342,308,308,0,0.9005847953216374,0.9005847953216374
283,0.1,1098,1030,1030,0,0.9380692167577414,0.9380692167577414
283,0.2,542,534,534,0,0.985239852398524,0.985239852398524
283,0.3,342,311,311,0,0.9093567251461988,0.9093567251461988
284,0.1,1098,998,998,0,0.9089253187613844,0.9089253187613844
284,0.2,542,530,530,0,0.977859778597786,0.977859778597786
284,0.3,342,315,315,0,0.9210526315789473,0.9210526315789473
285,0.1,1098,1002,1002,0,0.912568306010929,0.912568306010929
285,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
285,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
286,0.1,1098,1052,1052,0,0.9581056466302368,0.9581056466302368
286,0.2,542,510,510,0,0.940959409594096,0.940959409594096
286,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
287,0.1,1098,1054,1054,0,0.9599271402550091,0.9599271402550091
287,0.2,542,498,498,0,0.9188191881918819,0.9188191881918819
287,0.3,342,303,303,0,0.8859649122807017,0.8859649122807017
288,0.1,1098,1066,1066,0,0.970856102003643,0.970856102003643
288,0.2,542,541,541,0,0.9981549815498155,0.9981549815498155
288,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
289,0.1,1098,989,989,0,0.900728597449909,0.900728597449909
289,0.2,542,507,507,0,0.9354243542435424,0.9354243542435424
289,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
290,0.1,1098,1024,1024,0,0.9326047358834244,0.9326047358834244
290,0.2,542,525,525,0,0.9686346863468634,0.9686346863468634
290,0.3,342,320,320,0,0.935672514619883,0.935672514619883
291,0.1,1098,1032,1032,0,0.9398907103825137,0.9398907103825137
291,0.2,542,504,504,0,0.9298892988929889,0.9298892988929889
291,0.3,342,300,300,0,0.8771929824561403,0.8771929824561403
