bootstrap_replicate,support_fraction,baseline_motif_count,replicate_discovered_motif_count,retained_baseline_motif_count,novel_motif_count,discovery_set_retention,discovery_set_jaccard
263,0.2,542,530,530,0,0.977859778597786,0.977859778597786
263,0.3,342,302,302,0,0.8830409356725146,0.8830409356725146
264,0.1,1098,979,979,0,0.8916211293260473,0.8916211293260473
264,0.2,542,502,502,0,0.9261992619926199,0.9261992619926199
264,0.3,342,312,312,0,0.9122807017543859,0.9122807017543859
265,0.1,1098,1017,1017,0,0.9262295081967213,0.9262295081967213
265,0.2,542,519,519,0,0.9575645756457565,0.9575645756457565
265,0.3,342,316,316,0,0.9239766081871345,0.9239766081871345
266,0.1,1098,1053,1053,0,0.9590163934426229,0.9590163934426229
266,0.2,542,536,536,0,0.988929889298893,0.988929889298893
266,0.3,342,332,332,0,0.9707602339181286,0.9707602339181286
267,0.1,1098,1035,1035,0,0.9426229508196722,0.9426229508196722
267,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
267,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
268,0.1,1098,1000,1000,0,0.9107468123861566,0.9107468123861566
268,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
268,0.3,342,305,305,0,0.8918128654970761,0.8918128654970761
269,0.1,1098,1064,1064,0,0.9690346083788707,0.9690346083788707
269,0.2,542,527,527,0,0.9723247232472325,0.9723247232472325
269,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
270,0.1,1098,1031,1031,0,0.9389799635701275,0.9389799635701275
270,0.2,542,493,493,0,0.9095940959409594,0.9095940959409594
270,0.3,342,318,318,0,0.9298245614035088,0.9298245614035088
271,0.1,1098,1011,1011,0,0.9207650273224044,0.9207650273224044
271,0.2,542,508,508,0,0.9372693726937269,0.9372693726937269
271,0.3,342,314,314,0,0.9181286549707602,0.9181286549707602
272,0.1,1098,1055,1055,0,0.9608378870673953,0.9608378870673953
272,0.2,542,515,515,0,0.9501845018450185,0.9501845018450185
272,0.3,342,304,304,0,0.8888888888888888,0.8888888888888888
273,0.1,1098,1054,1054,0,0.9599271402550091,0.9599271402550091
273,0.2,542,493,493,0,0.9095940959409594,0.9095940959409594
273,0.3,342,302,302,0,0.8830409356725146,0.8830409356725146
274,0.1,1098,1025,1025,0,0.9335154826958105,0.9335154826958105
274,0.2,542,504,504,0,0.9298892988929889,0.9298892988929889
274,0.3,342,306,306,0,0.8947368421052632,0.8947368421052632
275,0.1,1098,1061,1061,0,0.9663023679417122,0.9663023679417122
275,0.2,542,511,511,0,0.9428044280442804,0.9428044280442804
275,0.3,342,320,320,0,0.935672514619883,0.935672514619883
276,0.1,1098,1019,1019,0,0.9280510018214936,0.9280510018214936
276,0.2,542,520,520,0,0.959409594095941,0.959409594095941
276,0.3,342,326,326,0,0.9532163742690059,0.9532163742690059
277,0.1,1098,1010,1010,0,0.9198542805100182,0.9198542805100182
277,0.2,542,540,540,0,0.996309963099631,0.996309963099631
277,0.3,342,303,303,0,0.8859649122807017,0.8859649122807017
278,0.1,1098,999,999,0,0.9098360655737705,0.9098360655737705
278,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
278,0.3,342,310,310,0,0.9064327485380117,0.9064327485380117
279,0.1,1098,1006,1006,0,0.9162112932604736,0.9162112932604736
279,0.2,542,517,517,0,0.9538745387453874,0.9538745387453874
279,0.3,342,324,324,0,0.9473684210526315,0.9473684210526315
280,0.1,1098,1020,1020,0,0.9289617486338798,0.9289617486338798
280,0.2,542,509,509,0,0.9391143911439115,0.9391143911439115
280,0.3,342,325,325,0,0.9502923976608187,0.9502923976608187
281,0.1,1098,1060,1060,0,0.9653916211293261,0.9653916211293261
281,0.2,542,532,532,0,0.981549815498155,0.981549815498155
281,0.3,342,328,328,0,0.9590643274853801,0.9590643274853801
282,0.1,1098,979,979,0,0.8916211293260473,0.8916211293260473
282,0.2,542,530,530,0,0.977859778597786,0.977859778597786
282,0.3,342,330,330,0,0.9649122807017544,0.9649122807017544
283,0.1,1098,1018,1018,0,0.9271402550091075,0.9271402550091075
283,0.2,542,520,520,0,0.959409594095941,0.959409594095941
283,0.3,342,313,313,0,0.9152046783625731,0.9152046783625731
284,0.1,1098,1022,1022,0,0.930783242258652,0.930783242258652
284,0.2,542,506,506,0,0.933579335793358,0.933579335793358
284,0.3,342,302,302,0,0.8830409356725146,0.8830409356725146
285,0.1,1098,1061,1061,0,0.9663023679417122,0.9663023679417122
285,0.2,542,504,504,0,0.9298892988929889,0.9298892988929889
285,0.3,342,311,311,0,0.9093567251461988,0.9093567251461988
286,0.1,1098,962,962,0,0.8761384335154827,0.8761384335154827
286,0.2,542,513,513,0,0.9464944649446494,0.9464944649446494
286,0.3,342,311,311,0,0.9093567251461988,0.9093567251461988
287,0.1,1098,1053,1053,0,0.9590163934426229,0.9590163934426229
287,0.2,542,522,522,0,0.9630996309963099,0.9630996309963099
287,0.3,342,322,322,0,0.9415204678362573,0.9415204678362573
288,0.1,1098,919,919,0,0.836976320582878,0.836976320582878
